#{"t_start": 1764794823.5612617, "env_id": "None"}
r,l,t
-47.0,1,5.715024
-15.0,16,5.771755
-45.0,2,5.779172
374.0,188,7.128884
-47.0,1,7.131087
-3.0,10,7.158292
735.0,313,8.023907
-20.0,10,8.065064
54.0,27,8.134488
-28.0,14,8.171258
-47.0,1,8.173302
-47.0,1,8.177692
-41.0,3,8.1874
-47.0,1,8.191732
-47.0,1,8.19654
-47.0,1,8.1984
-47.0,1,8.20044
-24.0,8,8.220968
157.0,76,8.43743
644.0,257,9.117656
-24.0,9,9.141346
-46.0,1,9.143096
-47.0,1,9.146533
-47.0,1,9.148654
448.0,203,9.782785
11.0,14,9.840863
154.0,73,10.045104
-35.0,10,10.068755
-47.0,1,10.075227
-44.0,2,10.0782
186.0,66,10.245504
-46.0,1,10.247432
-47.0,1,10.251341
-40.0,6,10.266742
-35.0,5,10.277148
46.0,39,10.395989
-47.0,1,10.397636
351.0,138,10.761259
609.0,159,11.163847
-47.0,1,11.165833
-47.0,1,11.177849
-8.0,14,11.212124
-47.0,1,11.21385
-47.0,1,11.220452
-47.0,1,11.222301
-47.0,1,11.225873
-44.0,2,11.234153
-42.0,2,11.239991
-35.0,5,11.252735
-44.0,2,11.26181
-46.0,1,11.265322
197.0,96,11.552662
-47.0,1,11.556
-47.0,1,11.560702
-47.0,1,11.563745
-47.0,1,11.566908
-46.0,1,11.569451
-39.0,3,11.587381
-47.0,1,11.593247
-47.0,1,11.598187
-46.0,1,11.600973
-47.0,1,11.603937
-46.0,1,11.606243
-42.0,3,11.61598
-47.0,1,11.619677
-44.0,4,11.6312
11.0,14,11.671202
-46.0,2,11.674853
-41.0,3,11.682595
589.0,198,12.188175
-46.0,1,12.191161
-47.0,1,12.192885
-47.0,1,12.195242
-46.0,2,12.204839
-47.0,1,12.212697
-44.0,2,12.221367
-46.0,1,12.223239
-46.0,1,12.226668
-47.0,1,12.228619
-33.0,6,12.241954
-47.0,1,12.244245
-46.0,1,12.246755
-33.0,11,12.274241
-44.0,2,12.279909
-46.0,1,12.281795
-47.0,1,12.285089
-47.0,1,12.286822
13.0,15,12.33092
247.0,85,12.695285
-47.0,1,12.701271
-3.0,15,12.77097
-38.0,3,12.784257
-42.0,3,12.797894
-46.0,1,12.801083
-18.0,16,12.871798
-47.0,1,12.874874
-47.0,1,12.884466
-45.0,2,12.892837
-44.0,2,12.901437
23.0,20,12.975227
-26.0,7,12.995048
-45.0,2,13.002475
-47.0,1,13.006978
-5.0,11,13.049103
-46.0,1,13.051743
-47.0,1,13.061662
114.0,46,13.223424
52.0,29,13.328197
-47.0,1,13.333677
-47.0,1,13.339771
-44.0,2,13.347454
-45.0,2,13.359141
-23.0,7,13.401026
-44.0,2,13.414429
-46.0,1,13.420276
-47.0,1,13.42658
-13.0,13,13.471561
-47.0,1,13.473975
-39.0,3,13.483321
-47.0,1,13.487965
-45.0,2,13.498429
-47.0,1,13.505186
-47.0,1,13.507743
-47.0,1,13.512253
-47.0,1,13.514752
-47.0,1,13.51984
-46.0,1,13.522423
-47.0,1,13.529151
-47.0,1,13.532706
-47.0,1,13.538169
-47.0,1,13.541211
-47.0,1,13.545876
-46.0,1,13.548997
-26.0,5,13.572571
-46.0,1,13.577935
187.0,53,13.821738
22.0,22,13.936323
-31.0,7,13.963963
-47.0,1,13.971834
-47.0,1,13.974986
-46.0,2,13.984435
52.0,25,14.08906
81.0,33,14.238037
-47.0,1,14.244164
-47.0,1,14.253436
-47.0,1,14.2665
-31.0,11,14.316956
-47.0,1,14.323014
-46.0,2,14.333735
17.0,22,14.438311
-42.0,2,14.447082
-46.0,1,14.451685
-22.0,9,14.510942
-47.0,1,14.517807
-47.0,1,14.521299
-46.0,1,14.527398
-47.0,1,14.534953
-47.0,1,14.54078
27.0,31,14.680699
-39.0,3,14.689627
-45.0,2,14.704003
-47.0,1,14.70673
-46.0,1,14.711565
-47.0,1,14.717062
-45.0,2,14.72387
-45.0,2,14.733064
-46.0,2,14.738414
-47.0,1,14.741443
-46.0,1,14.747987
-47.0,1,14.751406
-47.0,1,14.754889
-47.0,1,14.758671
-47.0,1,14.763712
-47.0,1,14.769546
-47.0,1,14.771765
-47.0,1,14.774698
-47.0,1,14.780551
227.0,90,15.046381
74.0,53,15.211935
267.0,90,15.436995
-47.0,1,15.438502
-45.0,2,15.446666
-43.0,4,15.458892
13.0,18,15.525052
-46.0,2,15.534429
-47.0,1,15.538244
-30.0,5,15.557708
-47.0,1,15.561579
-46.0,1,15.568718
-47.0,1,15.570738
-39.0,3,15.578314
-33.0,9,15.602697
-37.0,7,15.629804
-45.0,3,15.638826
-47.0,1,15.645974
-41.0,3,15.653704
-43.0,3,15.673109
-46.0,1,15.677063
-46.0,2,15.684836
-47.0,1,15.688668
-38.0,4,15.698911
77.0,29,15.785202
-47.0,1,15.791414
-46.0,2,15.794482
120.0,57,15.924303
-29.0,11,15.960023
-46.0,1,15.964363
27.0,18,16.019411
-39.0,4,16.028912
-30.0,10,16.061152
-47.0,1,16.068377
-47.0,1,16.070146
-45.0,2,16.07517
-45.0,2,16.082506
-47.0,1,16.086112
-47.0,1,16.088237
-46.0,2,16.095608
-47.0,1,16.099145
-6.0,12,16.134412
56.0,29,16.213516
-47.0,1,16.220527
-9.0,9,16.245535
-47.0,1,16.249438
-46.0,1,16.2514
-47.0,1,16.26137
18.0,20,16.318494
-47.0,1,16.321446
186.0,71,16.507426
-47.0,1,16.510544
-24.0,6,16.525218
410.0,133,16.921805
-44.0,3,16.929223
-43.0,3,16.939383
61.0,25,17.007968
-47.0,1,17.014727
-38.0,3,17.021043
-47.0,1,17.026054
154.0,73,17.228209
-47.0,1,17.232255
-46.0,1,17.234706
-29.0,7,17.255739
-47.0,1,17.25745
-33.0,5,17.269937
-37.0,4,17.283474
-46.0,1,17.288637
-44.0,2,17.296075
-46.0,1,17.30617
-4.0,10,17.330026
-47.0,1,17.331842
283.0,150,17.760851
-47.0,1,17.762462
-46.0,1,17.76408
189.0,63,17.943545
-38.0,3,17.951202
-45.0,3,17.961123
-46.0,2,17.964095
-45.0,3,17.973234
-47.0,1,17.97486
23.0,16,18.014709
-47.0,1,18.016696
-46.0,1,18.029645
11.0,17,18.065915
-47.0,1,18.067366
-31.0,6,18.086037
203.0,68,18.243084
-43.0,2,18.247244
-46.0,1,18.252513
-47.0,1,18.257025
-47.0,1,18.258699
-45.0,2,18.262089
-47.0,1,18.268486
-47.0,1,18.270693
-47.0,1,18.273878
-47.0,1,18.276654
-44.0,4,18.286516
-47.0,1,18.290887
447.0,145,18.737585
-46.0,1,18.739318
-46.0,1,18.741168
-46.0,1,18.754569
-46.0,1,18.758562
522.0,151,19.173463
-46.0,1,19.177517
-46.0,1,19.179689
-47.0,1,19.182276
-47.0,1,19.188769
-35.0,4,19.197758
-46.0,1,19.201306
-46.0,1,19.204872
-42.0,2,19.213527
-42.0,2,19.219482
-46.0,2,19.22616
1.0,13,19.258231
-46.0,1,19.261062
-47.0,1,19.263192
171.0,86,19.537691
-46.0,2,19.544066
-42.0,2,19.554473
-44.0,3,19.566671
-40.0,4,19.584635
197.0,82,19.849218
-47.0,1,19.851189
2.0,14,19.898665
-47.0,1,19.900896
-44.0,3,19.914133
-42.0,2,19.91868
-47.0,1,19.925603
177.0,73,20.161482
-47.0,1,20.164729
-43.0,2,20.172014
-46.0,1,20.173788
-46.0,2,20.177045
-42.0,4,20.188545
7.0,13,20.232368
-47.0,1,20.234384
286.0,103,20.500419
-47.0,1,20.502295
-46.0,2,20.505759
-47.0,1,20.511703
-45.0,2,20.515111
-47.0,1,20.51869
-47.0,1,20.523382
-47.0,1,20.526308
-46.0,1,20.535697
-47.0,1,20.538819
-44.0,2,20.547322
-47.0,1,20.549155
-47.0,1,20.552929
-47.0,1,20.55723
-47.0,1,20.559024
-11.0,9,20.582797
-24.0,8,20.599454
-45.0,2,20.60536
-35.0,4,20.61773
-45.0,2,20.623102
42.0,25,20.681323
-40.0,6,20.707781
-46.0,1,20.712261
-47.0,1,20.714034
84.0,41,20.855794
-45.0,2,20.862935
-47.0,1,20.865191
-43.0,4,20.879776
-35.0,7,20.901188
-47.0,1,20.904754
-47.0,1,20.910354
66.0,31,21.002203
-46.0,1,21.008636
-40.0,4,21.022026
-45.0,2,21.026263
-47.0,1,21.030041
-46.0,2,21.036633
-47.0,1,21.041824
-19.0,10,21.088796
-47.0,1,21.092668
-47.0,1,21.097499
-38.0,3,21.107918
-45.0,2,21.116164
-47.0,1,21.121092
-47.0,1,21.124602
-47.0,1,21.130453
55.0,31,21.229454
-47.0,1,21.233044
29.0,33,21.328094
-43.0,2,21.3414
-47.0,1,21.344329
-46.0,1,21.347293
-46.0,1,21.35536
-40.0,4,21.378072
293.0,99,21.700358
-46.0,1,21.705129
-43.0,2,21.709632
3.0,23,21.784915
-47.0,1,21.790754
-45.0,2,21.801946
-47.0,1,21.806296
183.0,70,22.029985
-47.0,1,22.034329
-47.0,1,22.038028
-47.0,1,22.040422
-15.0,16,22.084258
-44.0,2,22.090486
-47.0,1,22.093563
-42.0,2,22.097621
-41.0,2,22.110426
-27.0,10,22.134299
-46.0,1,22.140532
-46.0,1,22.142755
-42.0,2,22.1488
-46.0,2,22.156758
-47.0,1,22.158483
-46.0,1,22.160096
-47.0,1,22.165999
-33.0,5,22.179482
-47.0,1,22.182776
-46.0,1,22.186343
-47.0,1,22.191226
-47.0,1,22.194203
-47.0,1,22.196291
46.0,28,22.291001
-47.0,1,22.293734
-46.0,1,22.301502
-47.0,1,22.303424
-46.0,1,22.305163
-45.0,2,22.322201
-12.0,11,22.354024
-47.0,1,22.36104
-3.0,10,22.389266
-46.0,1,22.392174
-46.0,2,22.399639
-44.0,2,22.402865
-47.0,1,22.406834
-44.0,2,22.412417
-7.0,9,22.437498
-47.0,1,22.443755
-39.0,3,22.448775
-46.0,2,22.456042
-47.0,1,22.459458
-46.0,2,22.465107
-47.0,1,22.467162
8.0,13,22.505903
-33.0,4,22.525147
-38.0,4,22.536665
-47.0,1,22.53865
-45.0,3,22.548774
1.0,14,22.592776
-42.0,2,22.598775
496.0,158,23.09475
-43.0,2,23.097862
-47.0,1,23.099616
-34.0,4,23.110595
-46.0,2,23.116546
124.0,64,23.285145
-39.0,3,23.292812
-42.0,2,23.297784
-13.0,8,23.315369
-47.0,1,23.318647
-43.0,2,23.325684
-47.0,1,23.329631
-47.0,1,23.33215
-47.0,1,23.336359
-47.0,1,23.337949
-47.0,1,23.341052
-46.0,1,23.343608
-12.0,15,23.392548
28.0,19,23.448992
-38.0,5,23.46014
-44.0,3,23.476181
0.0,11,23.508085
-47.0,1,23.510483
-44.0,2,23.516043
-47.0,1,23.520224
459.0,166,23.948258
-47.0,1,23.952596
-47.0,1,23.959152
186.0,102,24.229766
-47.0,1,24.231619
-46.0,1,24.236793
150.0,71,24.43826
-47.0,1,24.445135
-46.0,1,24.449223
-42.0,2,24.454587
-42.0,2,24.462608
-25.0,11,24.498977
-16.0,20,24.568253
-44.0,2,24.572152
-46.0,2,24.581433
-47.0,1,24.583426
-44.0,2,24.587732
-46.0,2,24.594704
469.0,135,25.112048
-18.0,7,25.143813
-47.0,1,25.153794
-46.0,1,25.156634
-45.0,2,25.1686
-47.0,1,25.177874
-47.0,1,25.180529
-37.0,5,25.196335
-35.0,11,25.233738
-46.0,1,25.236287
-46.0,2,25.253736
-47.0,1,25.25629
-47.0,1,25.260816
-28.0,5,25.278104
39.0,36,25.394572
1037.0,400,26.817559
-47.0,1,26.82415
-47.0,1,26.828947
-47.0,1,26.832765
-42.0,2,26.844218
-46.0,1,26.847201
-47.0,1,26.852933
-46.0,1,26.855832
-44.0,3,26.874601
295.0,171,27.325706
-17.0,8,27.346661
-31.0,8,27.371913
-47.0,1,27.375603
-47.0,1,27.37949
-41.0,4,27.398652
-46.0,1,27.403387
-45.0,2,27.406879
-43.0,4,27.41615
-47.0,1,27.418951
119.0,68,27.575534
-47.0,1,27.582597
-46.0,2,27.585504
-47.0,1,27.587056
-47.0,1,27.591547
-38.0,3,27.598666
-47.0,1,27.607638
883.0,376,28.528344
212.0,130,28.814502
-47.0,1,28.816046
-27.0,8,28.831915
-34.0,5,28.845053
17.0,15,28.880607
-47.0,1,28.88451
-34.0,9,28.905849
-46.0,2,28.911849
960.0,400,29.908526
-47.0,1,29.914737
-45.0,3,29.919074
-47.0,1,29.923078
-47.0,1,29.924448
-47.0,1,29.927224
-45.0,3,29.940892
-46.0,2,29.946729
-45.0,2,29.953785
-39.0,9,29.974389
-47.0,1,29.975979
-47.0,1,29.980035
-46.0,2,29.984994
-36.0,5,29.994239
-47.0,1,29.998308
-46.0,2,30.001029
519.0,259,30.720517
-47.0,1,30.721911
-42.0,6,30.737069
-24.0,18,30.772829
-18.0,19,30.823042
-37.0,5,30.836001
-47.0,1,30.83779
-46.0,1,30.843953
-46.0,1,30.845659
-45.0,2,30.848575
-46.0,2,30.855752
869.0,397,31.812051
-47.0,1,31.813641
1043.0,400,32.741745
-44.0,2,32.747061
