#{"t_start": 1764794823.5561805, "env_id": "None"}
r,l,t
-37.0,4,5.733857
-47.0,1,5.741954
-47.0,1,5.744298
-47.0,1,5.746336
-47.0,1,5.749448
-47.0,1,5.751892
-47.0,1,5.755529
-47.0,1,5.758604
-13.0,8,5.782365
-47.0,1,5.786615
388.0,114,6.891599
-42.0,2,6.897047
-47.0,1,6.903321
-47.0,1,6.905142
342.0,190,7.46126
-47.0,1,7.46535
-42.0,2,7.467971
-44.0,3,7.474936
2.0,11,7.500921
-46.0,1,7.502793
-46.0,1,7.504664
-35.0,6,7.530591
-45.0,2,7.536131
-44.0,4,7.547353
-47.0,1,7.54949
-45.0,2,7.558243
-46.0,2,7.561877
-47.0,1,7.566761
649.0,218,8.177211
-46.0,1,8.180941
29.0,18,8.232655
-46.0,1,8.234426
-46.0,1,8.23685
-30.0,13,8.276639
-47.0,1,8.278297
-46.0,2,8.281311
127.0,47,8.418055
-23.0,8,8.441199
-47.0,1,8.44353
-33.0,12,8.485169
-47.0,1,8.490369
-47.0,1,8.492203
325.0,121,8.812554
-47.0,1,8.814277
228.0,79,9.013599
-38.0,9,9.034453
-47.0,1,9.038672
-47.0,1,9.040392
-47.0,1,9.043718
27.0,19,9.096837
-31.0,5,9.109143
-45.0,2,9.114934
-47.0,1,9.118087
-44.0,3,9.126243
-47.0,1,9.127781
-45.0,3,9.137137
-39.0,4,9.145479
-47.0,1,9.147239
-46.0,1,9.15028
-47.0,1,9.152534
-9.0,15,9.192183
-45.0,2,9.197721
-45.0,2,9.201031
-47.0,1,9.20473
-47.0,1,9.211363
-47.0,1,9.213079
-46.0,2,9.216151
-44.0,3,9.226236
-20.0,10,9.250059
14.0,14,9.280174
-23.0,9,9.305981
-15.0,10,9.336266
-47.0,1,9.339065
-47.0,1,9.341967
-47.0,1,9.35118
-47.0,1,9.354357
-47.0,1,9.357699
-47.0,1,9.360218
-44.0,2,9.368526
-8.0,15,9.411918
-42.0,2,9.415613
-47.0,1,9.418467
-44.0,2,9.425914
-47.0,1,9.428795
-46.0,1,9.430807
-42.0,2,9.43883
-46.0,2,9.443324
369.0,103,9.798442
-47.0,1,9.800435
-47.0,1,9.805074
-47.0,1,9.808766
-44.0,3,9.827833
-47.0,1,9.832268
-46.0,1,9.835325
-47.0,1,9.838377
-46.0,1,9.844345
-38.0,6,9.86035
-37.0,4,9.872615
-47.0,1,9.874954
-46.0,1,9.879573
288.0,129,10.213279
-47.0,1,10.216084
-47.0,1,10.217587
-46.0,1,10.224747
41.0,23,10.284676
-44.0,2,10.295202
-47.0,1,10.297999
-47.0,1,10.299962
-47.0,1,10.30468
-47.0,1,10.308928
-46.0,2,10.312415
-47.0,1,10.317047
-38.0,3,10.321637
-47.0,1,10.327981
-47.0,1,10.329602
-47.0,1,10.331265
-47.0,1,10.333123
2.0,14,10.377708
173.0,78,10.580387
-47.0,1,10.585756
-47.0,1,10.589024
-44.0,3,10.598233
-41.0,2,10.603147
-46.0,2,10.612399
-19.0,8,10.632167
-47.0,1,10.634415
-45.0,2,10.640058
-46.0,1,10.644869
-15.0,20,10.6949
-47.0,1,10.696731
-42.0,2,10.699541
-46.0,1,10.703408
62.0,30,10.781752
-47.0,1,10.783365
52.0,34,10.866897
51.0,31,10.934085
-47.0,1,10.936262
-46.0,1,10.937882
131.0,56,11.100454
-8.0,16,11.133516
22.0,25,11.208507
643.0,222,11.843234
-47.0,1,11.846785
-46.0,1,11.849118
17.0,15,11.904041
-46.0,1,11.907389
-47.0,1,11.914971
-46.0,1,11.917144
-47.0,1,11.920296
-47.0,1,11.924073
-46.0,1,11.929951
-14.0,10,11.95611
-47.0,1,11.957748
-43.0,2,11.966094
-45.0,2,11.969509
-47.0,1,11.97571
-47.0,1,11.977667
-47.0,1,11.980571
-47.0,1,11.982706
272.0,113,12.263694
-47.0,1,12.265496
-45.0,2,12.268768
-43.0,2,12.27701
500.0,200,13.092271
-46.0,1,13.095277
-47.0,1,13.097979
-46.0,1,13.106303
