#{"t_start": 1764794823.5628285, "env_id": "None"}
r,l,t
-47.0,1,15.533747
-46.0,1,15.537572
182.0,54,15.726371
391.0,165,16.185846
-45.0,2,16.18961
-46.0,2,16.197355
29.0,32,16.29374
336.0,113,16.597203
-46.0,1,16.600986
579.0,214,17.22526
-47.0,1,17.227239
-41.0,5,17.240989
-47.0,1,17.244554
-47.0,1,17.248949
-47.0,1,17.252504
-32.0,9,17.273668
-47.0,1,17.275748
-47.0,1,17.282563
-46.0,1,17.287835
-47.0,1,17.290262
1138.0,400,18.385339
-33.0,5,18.400731
-46.0,1,18.408869
-18.0,15,18.450105
-47.0,1,18.456371
-47.0,1,18.458188
-46.0,1,18.460097
-46.0,1,18.462072
1.0,14,18.50441
-47.0,1,18.509111
-47.0,1,18.511629
85.0,42,18.661475
70.0,33,18.760635
89.0,42,18.877885
-47.0,1,18.88108
8.0,21,18.933885
1.0,13,18.970194
-46.0,1,18.97614
-44.0,2,18.979496
-47.0,1,18.981248
44.0,24,19.045784
46.0,20,19.100462
-47.0,1,19.104435
-47.0,1,19.108997
1.0,17,19.149864
-46.0,1,19.15144
-46.0,1,19.157049
-21.0,7,19.181258
-42.0,5,19.196789
-41.0,2,19.203929
-42.0,2,19.212535
-46.0,1,19.21589
268.0,82,19.452058
-44.0,4,19.467454
-47.0,1,19.477074
-47.0,1,19.485219
-44.0,2,19.491867
-47.0,1,19.49699
-23.0,7,19.516353
-47.0,1,19.522805
-43.0,3,19.528489
-47.0,1,19.533355
-47.0,1,19.536935
-47.0,1,19.539384
-47.0,1,19.5431
-46.0,1,19.549301
-43.0,3,19.559309
-45.0,2,19.569351
-15.0,9,19.601914
-47.0,1,19.604007
-46.0,1,19.610309
-47.0,1,19.612397
-47.0,1,19.615485
-46.0,1,19.618393
-46.0,1,19.624364
-46.0,1,19.628441
271.0,91,19.92466
-46.0,1,19.92662
-46.0,2,19.933194
-47.0,1,19.937856
-46.0,1,19.942164
-14.0,8,19.95941
-41.0,3,19.969668
-47.0,1,19.971486
-29.0,6,19.991417
-42.0,2,19.998283
19.0,14,20.044129
-47.0,1,20.049056
-46.0,1,20.052674
16.0,15,20.109917
-46.0,2,20.1138
-47.0,1,20.117123
-46.0,2,20.123039
23.0,20,20.184002
-41.0,3,20.191729
-47.0,1,20.193778
-41.0,4,20.205304
-39.0,4,20.220684
-46.0,1,20.222765
0.0,19,20.271734
-47.0,1,20.274502
-47.0,1,20.276437
-47.0,1,20.282402
554.0,153,20.690559
47.0,39,20.809688
-46.0,2,20.81591
-47.0,1,20.81819
-36.0,4,20.843813
-47.0,1,20.855744
-19.0,11,20.889117
25.0,18,20.940158
78.0,31,21.05131
-47.0,1,21.05411
-47.0,1,21.060281
-47.0,1,21.062447
-41.0,3,21.076454
-43.0,2,21.088115
152.0,79,21.346947
-46.0,1,21.354615
-47.0,1,21.35793
-24.0,6,21.382668
122.0,60,21.572998
-17.0,15,21.62756
37.0,18,21.692585
-17.0,11,21.72839
-46.0,1,21.735625
-47.0,1,21.737661
-46.0,1,21.741952
11.0,17,21.792156
-46.0,1,21.8011
73.0,27,21.897119
-46.0,1,21.907669
-47.0,1,21.909683
69.0,37,22.016152
-47.0,1,22.01775
-47.0,1,22.023829
-45.0,2,22.027095
-36.0,4,22.039507
-47.0,1,22.041184
-47.0,1,22.047155
-12.0,14,22.083264
-29.0,13,22.122926
-47.0,1,22.127234
-46.0,1,22.129453
-43.0,2,22.133346
-47.0,1,22.139718
-46.0,1,22.141723
-46.0,1,22.145607
-47.0,1,22.14784
-47.0,1,22.15374
-29.0,6,22.168119
-46.0,2,22.174432
-47.0,1,22.179303
-46.0,2,22.185361
-31.0,6,22.212871
-27.0,6,22.233533
-47.0,1,22.239318
-46.0,1,22.242013
-47.0,1,22.244218
-47.0,1,22.248103
-33.0,5,22.262046
214.0,91,22.550546
-46.0,1,22.556232
-47.0,1,22.557834
-46.0,1,22.559389
-18.0,8,22.582914
-44.0,2,22.591832
-46.0,2,22.597955
-47.0,1,22.600412
-44.0,2,22.607382
-21.0,11,22.648321
-47.0,1,22.650878
86.0,29,22.742298
10.0,17,22.791944
-31.0,10,22.822844
32.0,21,22.877292
123.0,43,23.016064
-46.0,1,23.021105
-17.0,7,23.046847
-46.0,2,23.052254
-47.0,1,23.057125
-47.0,1,23.058819
-46.0,1,23.066216
29.0,18,23.113584
-47.0,1,23.115568
-40.0,3,23.126041
-26.0,5,23.139869
-45.0,2,23.146455
-47.0,1,23.15462
-30.0,5,23.165005
-34.0,11,23.192092
31.0,35,23.278018
-34.0,6,23.293162
-47.0,1,23.296832
-3.0,11,23.324631
-42.0,4,23.337008
-46.0,1,23.340324
-46.0,1,23.342798
-46.0,2,23.351968
-21.0,10,23.383855
-41.0,3,23.391491
19.0,16,23.437743
5.0,13,23.479621
-45.0,2,23.487265
-47.0,1,23.489059
-47.0,1,23.491048
42.0,22,23.571818
282.0,124,23.861447
-41.0,3,23.868058
-47.0,1,23.872114
381.0,186,24.385914
1254.0,400,25.768815
-47.0,1,25.774428
-47.0,1,25.776775
-45.0,2,25.783271
72.0,36,25.885614
-45.0,2,25.898561
-38.0,4,25.913342
-46.0,1,25.916278
-47.0,1,25.918916
-46.0,2,25.929104
-47.0,1,25.933543
-47.0,1,25.936841
-45.0,3,25.946868
-46.0,2,25.956522
660.0,299,27.074083
300.0,207,27.612078
-40.0,3,27.622753
-47.0,1,27.624425
-47.0,1,27.626482
-47.0,1,27.632591
-44.0,4,27.641813
-46.0,1,27.645813
-47.0,1,27.647664
-47.0,1,27.650398
-38.0,4,27.660165
-47.0,1,27.666615
-35.0,8,27.688609
239.0,180,28.088084
-40.0,6,28.102652
-47.0,1,28.104252
-32.0,9,28.132597
846.0,395,29.066118
836.0,400,30.086282
-47.0,1,30.090461
-44.0,2,30.093758
-47.0,1,30.097557
619.0,262,30.821992
-47.0,1,30.823527
-46.0,2,30.830974
264.0,128,31.17988
-42.0,2,31.183495
30.0,23,31.244457
724.0,400,32.134938
70.0,26,32.196967
-28.0,16,32.23141
-47.0,1,32.23783
857.0,400,33.182961
837.0,400,34.105038
-41.0,3,34.108994
-21.0,6,34.121597
-43.0,4,34.12929
-47.0,1,34.133383
-37.0,6,34.159706
-24.0,8,34.177953
-46.0,1,34.180827
-46.0,2,34.184691
-31.0,11,34.21405
-46.0,2,34.220597
-47.0,1,34.222458
817.0,400,35.09356
822.0,400,35.962512
-47.0,1,35.96661
-34.0,5,35.976993
748.0,400,36.897482
84.0,77,37.174083
-47.0,1,37.176141
-43.0,5,37.191279
-47.0,1,37.197279
-47.0,1,37.206436
-47.0,1,37.208712
-47.0,1,37.210947
-46.0,2,37.218245
-46.0,2,37.225628
-47.0,1,37.227978
-36.0,10,37.259592
-11.0,12,37.295404
818.0,400,38.533108
477.0,245,39.453016
-47.0,1,39.454507
-47.0,1,39.45825
-47.0,1,39.459657
-47.0,1,39.464975
-47.0,1,39.470029
-47.0,1,39.477651
-46.0,1,39.479232
-41.0,4,39.489602
142.0,62,39.628782
396.0,182,40.097357
-47.0,1,40.099054
-47.0,1,40.100546
-46.0,1,40.104684
-47.0,1,40.108186
-46.0,1,40.109649
-47.0,1,40.111054
-46.0,1,40.115095
-45.0,2,40.120163
916.0,400,41.060276
-26.0,13,41.087593
-47.0,1,41.09132
-47.0,1,41.092892
-46.0,2,41.095866
-22.0,12,41.123088
-46.0,2,41.128529
-47.0,1,41.129953
-19.0,22,41.182684
-47.0,1,41.186151
-43.0,4,41.19389
772.0,400,42.057662
-43.0,5,42.067313
-14.0,18,42.11048
-47.0,1,42.113128
-47.0,1,42.115016
-47.0,1,42.116836
-46.0,1,42.121592
-45.0,2,42.12637
-47.0,1,42.127787
-46.0,1,42.131649
-46.0,1,42.133216
-47.0,1,42.13668
-44.0,2,42.143639
-46.0,2,42.146791
-45.0,2,42.152241
-45.0,3,42.158138
-42.0,4,42.167409
-47.0,1,42.17126
-44.0,2,42.178675
750.0,400,43.05364
-47.0,1,43.056973
-47.0,1,43.060861
-46.0,2,43.064656
-47.0,1,43.066279
766.0,400,43.947005
-45.0,2,43.954872
-46.0,1,43.959267
48.0,57,44.076728
-46.0,2,44.084458
-47.0,1,44.086836
-34.0,7,44.107542
-23.0,17,44.148357
-31.0,13,44.189601
-47.0,1,44.195917
-44.0,2,44.19884
-46.0,2,44.204557
-43.0,5,44.217172
204.0,129,44.509376
-46.0,2,44.514535
41.0,37,44.594343
751.0,400,45.465668
-46.0,2,45.471239
-46.0,1,45.475853
-47.0,1,45.477446
-46.0,2,45.486128
726.0,400,46.345217
-41.0,3,46.351515
-39.0,3,46.372517
437.0,290,46.996656
-28.0,7,47.011018
-41.0,3,47.016833
-45.0,3,47.026166
-44.0,4,47.03357
0.0,13,47.059377
-37.0,9,47.077451
-47.0,1,47.080635
-45.0,2,47.089861
-46.0,2,47.099205
673.0,400,47.995848
-47.0,1,47.999728
-42.0,2,48.002433
-47.0,1,48.004072
-46.0,2,48.012146
-47.0,1,48.013811
-45.0,2,48.019132
-42.0,4,48.02862
823.0,400,48.966219
764.0,400,50.171524
-25.0,8,50.195099
206.0,147,50.662842
-46.0,2,50.673678
-35.0,4,50.690551
-32.0,10,50.732469
253.0,196,51.374899
-46.0,2,51.380196
196.0,161,51.728411
-36.0,6,51.743267
-46.0,1,51.745052
731.0,400,52.659082
-42.0,3,52.666886
-43.0,4,52.675512
-42.0,2,52.681042
748.0,400,53.569443
721.0,400,54.51401
364.0,198,54.977824
-47.0,1,54.979397
-45.0,2,54.982867
-34.0,10,55.01712
-20.0,8,55.034554
-46.0,2,55.039637
-46.0,1,55.043676
-46.0,2,55.047009
885.0,400,55.956267
-42.0,6,55.973426
33.0,37,56.061021
-45.0,2,56.066213
852.0,400,56.984515
830.0,400,57.889662
-47.0,1,57.893568
245.0,125,58.198337
-42.0,2,58.203913
825.0,400,59.140376
-46.0,2,59.147085
-47.0,1,59.148923
-46.0,2,59.156667
-41.0,6,59.176665
-47.0,1,59.178106
-46.0,2,59.186369
-17.0,22,59.229982
-46.0,1,59.234206
-46.0,1,59.235726
-32.0,7,59.254202
-47.0,1,59.255669
-45.0,2,59.259713
-21.0,8,59.297294
-41.0,3,59.308219
-47.0,1,59.309983
-42.0,4,59.319484
-43.0,2,59.327826
129.0,58,62.482467
168.0,124,62.945187
-47.0,1,62.951578
-47.0,1,62.955755
97.0,71,63.220445
-47.0,1,63.224383
-31.0,13,63.265775
731.0,400,64.246134
-46.0,1,64.247535
-47.0,1,64.251235
-27.0,6,64.269777
-46.0,2,64.277347
-47.0,1,64.278883
1023.0,400,65.179858
-46.0,2,65.187007
-21.0,10,65.218869
-46.0,2,65.222422
-46.0,2,65.230428
-47.0,1,65.232245
-47.0,1,65.235843
876.0,400,66.176366
-36.0,5,66.188621
920.0,400,67.126258
-32.0,6,67.141329
-47.0,1,67.142787
175.0,94,67.346493
293.0,170,67.808575
-36.0,4,67.817613
-46.0,1,67.823384
-45.0,2,67.82777
-45.0,2,67.834979
-46.0,1,67.838589
-47.0,1,67.840565
-47.0,1,67.842195
259.0,129,68.123939
-46.0,2,68.127357
30.0,29,68.19181
-47.0,1,68.197997
-47.0,1,68.203041
-46.0,2,68.211688
-47.0,1,68.216574
-46.0,2,68.220495
-46.0,2,68.226492
-24.0,17,68.265734
-46.0,1,68.26744
-45.0,2,68.272904
-21.0,9,68.291069
-47.0,1,68.295033
-41.0,3,68.301295
-47.0,1,68.302977
-46.0,2,68.315063
-41.0,2,68.322361
-35.0,5,68.332103
124.0,55,68.460358
-39.0,4,68.47666
-47.0,1,68.479615
690.0,323,69.259376
-38.0,3,69.273051
514.0,284,69.927379
631.0,321,70.670603
-45.0,2,70.676575
-47.0,1,70.678318
-47.0,1,70.681975
-46.0,1,70.683517
-47.0,1,70.688488
-46.0,2,70.69331
-46.0,2,70.704694
-47.0,1,70.707774
-47.0,1,70.710603
-47.0,1,70.7135
-3.0,14,70.75511
-47.0,1,70.758863
-46.0,2,70.764487
17.0,17,70.818361
-36.0,8,70.848425
-37.0,6,70.862582
-13.0,14,70.901984
-36.0,8,70.923101
-47.0,1,70.928355
-47.0,1,70.932001
238.0,136,71.248142
798.0,365,72.084866
-47.0,1,72.086693
-45.0,3,72.09533
