#{"t_start": 1764794823.5583506, "env_id": "None"}
r,l,t
-47.0,1,5.715927
-11.0,20,5.789566
-47.0,1,5.791777
-46.0,2,5.798927
-47.0,1,5.802293
-42.0,2,5.807823
-46.0,1,5.815057
-47.0,1,5.818894
-47.0,1,5.824552
-47.0,1,5.826778
-47.0,1,5.828552
-47.0,1,5.832363
-47.0,1,5.834976
-46.0,1,5.838495
-20.0,8,5.857754
-46.0,2,5.864194
-47.0,1,5.866326
-46.0,2,5.870656
564.0,191,7.21716
-38.0,4,7.225582
-36.0,6,7.242749
-47.0,1,7.246337
-47.0,1,7.248378
-47.0,1,7.252142
-45.0,2,7.259948
-45.0,2,7.269198
-47.0,1,7.276128
135.0,42,7.379215
-46.0,1,7.380747
-38.0,5,7.393234
-34.0,7,7.417843
-46.0,1,7.425342
-26.0,8,7.44446
32.0,29,7.518756
-47.0,1,7.520707
-47.0,1,7.524634
-41.0,3,7.534636
-44.0,2,7.540195
-47.0,1,7.54204
5.0,15,7.582631
-47.0,1,7.58583
-13.0,18,7.62855
-47.0,1,7.632804
-42.0,2,7.635701
-42.0,2,7.643312
-46.0,2,7.645966
-46.0,1,7.647652
-46.0,2,7.653123
-44.0,2,7.657948
-46.0,1,7.662555
-47.0,1,7.664251
49.0,40,7.769664
-47.0,1,7.771523
-47.0,1,7.775104
100.0,45,7.909849
-43.0,3,7.91961
-46.0,2,7.933797
2.0,20,7.990026
-46.0,1,7.993248
208.0,85,8.235359
-47.0,1,8.245377
-32.0,9,8.264928
-47.0,1,8.266589
-47.0,1,8.269166
-6.0,14,8.313705
-23.0,18,8.360987
-44.0,4,8.37284
-47.0,1,8.377292
-45.0,2,8.381071
1244.0,400,9.462253
-47.0,1,9.464882
-28.0,14,9.511501
-46.0,1,9.514418
-46.0,1,9.518966
-47.0,1,9.523608
-45.0,3,9.528624
-47.0,1,9.532865
35.0,22,9.59615
-46.0,1,9.599366
-46.0,2,9.611964
-47.0,1,9.613847
-47.0,1,9.615866
-43.0,5,9.634488
-47.0,1,9.636213
-47.0,1,9.639776
-40.0,3,9.662729
-13.0,25,9.75808
-46.0,1,9.759846
631.0,245,10.447057
79.0,43,10.554826
-47.0,1,10.561162
-31.0,12,10.596724
