#{"t_start": 1764794823.5604496, "env_id": "None"}
r,l,t
-42.0,5,5.738765
-16.0,10,5.767441
322.0,129,6.913035
-45.0,2,6.920926
70.0,49,7.098571
-47.0,1,7.100221
-47.0,1,7.106441
119.0,50,7.234469
-47.0,1,7.236067
-47.0,1,7.241367
-46.0,2,7.247099
-46.0,2,7.255604
-46.0,2,7.26176
-36.0,5,7.282702
115.0,47,7.397778
-46.0,1,7.401024
-45.0,3,7.414458
-47.0,1,7.416359
-47.0,1,7.424345
422.0,169,7.876049
-47.0,1,7.877947
590.0,241,8.575811
-47.0,1,8.579745
109.0,51,8.69938
-46.0,1,8.706212
-47.0,1,8.708229
-47.0,1,8.710479
-45.0,2,8.716773
-47.0,1,8.720438
-46.0,1,8.723842
-41.0,3,8.734021
-47.0,1,8.735653
-46.0,1,8.737546
-47.0,1,8.744635
-47.0,1,8.748946
-47.0,1,8.751383
-45.0,2,8.765766
-46.0,1,8.767808
-47.0,1,8.772075
815.0,347,9.767403
-46.0,1,9.770324
-46.0,1,9.773007
-46.0,1,9.777812
-26.0,9,9.806648
-47.0,1,9.809892
-39.0,3,9.82984
-46.0,1,9.831994
-46.0,1,9.83519
-47.0,1,9.841216
18.0,17,9.889492
-47.0,1,9.892785
-47.0,1,9.896859
1371.0,400,10.936211
-44.0,2,10.944602
-46.0,2,10.949207
-47.0,1,10.954678
223.0,69,11.140038
-45.0,2,11.143356
-47.0,1,11.147336
-47.0,1,11.150822
-46.0,2,11.154598
-46.0,2,11.160492
-10.0,9,11.19166
88.0,39,11.315873
-45.0,2,11.319655
-46.0,1,11.327215
20.0,29,11.425708
-25.0,6,11.441709
-47.0,1,11.445701
-46.0,2,11.450859
-37.0,8,11.471589
-22.0,6,11.493153
-17.0,10,11.513978
-46.0,1,11.515626
-47.0,1,11.521746
-47.0,1,11.523564
-35.0,7,11.538837
-47.0,1,11.540405
-47.0,1,11.543841
-14.0,10,11.576149
-42.0,2,11.586985
-47.0,1,11.59284
-32.0,5,11.612971
-45.0,2,11.616328
-47.0,1,11.619323
-42.0,2,11.626345
-25.0,10,11.652988
-47.0,1,11.65718
-47.0,1,11.659096
-47.0,1,11.661141
-47.0,1,11.66422
-26.0,8,11.689998
-47.0,1,11.696642
-46.0,1,11.698251
-46.0,1,11.699811
-47.0,1,11.703343
-47.0,1,11.70756
24.0,20,11.747358
-27.0,14,11.775661
47.0,22,11.829167
-46.0,1,11.830976
-47.0,1,11.832594
-29.0,5,11.845762
-47.0,1,11.85293
-32.0,6,11.867621
-47.0,1,11.869951
123.0,49,12.029043
192.0,77,12.202737
-47.0,1,12.212304
-47.0,1,12.21545
-47.0,1,12.221714
-46.0,1,12.223611
33.0,32,12.302938
-47.0,1,12.306543
-46.0,1,12.313548
-29.0,6,12.329739
-46.0,2,12.335055
-39.0,4,12.344423
-43.0,2,12.352279
-47.0,1,12.354688
11.0,14,12.40461
197.0,92,12.826161
-41.0,3,12.840857
-37.0,4,12.861621
-46.0,1,12.867243
-39.0,3,12.874786
-47.0,1,12.884466
-41.0,3,12.896115
534.0,188,13.639812
-47.0,1,13.645493
-36.0,5,13.66366
-47.0,1,13.666717
-47.0,1,13.671942
-46.0,1,13.678859
-46.0,1,13.684831
-7.0,26,13.800731
-47.0,1,13.807208
-41.0,2,13.821832
-45.0,2,13.834248
-39.0,4,13.853442
-47.0,1,13.85622
-16.0,8,13.895364
-46.0,1,13.899341
-47.0,1,13.906001
-39.0,3,13.917681
-47.0,1,13.928133
-42.0,6,13.956059
-46.0,1,13.959169
208.0,120,14.544435
-45.0,3,14.559752
-13.0,8,14.60781
-47.0,1,14.612981
-47.0,1,14.616035
-47.0,1,14.628895
-46.0,1,14.632889
-24.0,7,14.659564
12.0,19,14.726976
-25.0,6,14.751512
-47.0,1,14.755238
-45.0,2,14.763981
-47.0,1,14.769493
-46.0,1,14.772073
-47.0,1,14.774983
-34.0,8,14.806764
-35.0,4,14.816271
-47.0,1,14.822515
-47.0,1,14.824176
-47.0,1,14.825861
-47.0,1,14.827892
-47.0,1,14.833952
-44.0,2,14.83962
-42.0,2,14.847497
-46.0,1,14.849481
-46.0,1,14.851554
-46.0,1,14.854921
-40.0,4,14.864996
-47.0,1,14.869219
98.0,58,15.031305
-46.0,1,15.033362
-46.0,1,15.039779
-46.0,1,15.041917
-46.0,1,15.046753
121.0,45,15.188893
-46.0,1,15.19537
788.0,256,15.916499
-47.0,1,15.920313
-46.0,1,15.922616
-43.0,2,15.929561
16.0,19,15.989738
-46.0,2,15.998095
-47.0,1,15.999958
-47.0,1,16.001972
127.0,63,16.191007
-41.0,3,16.201146
-38.0,3,16.208134
602.0,219,16.832556
-40.0,3,16.842735
-47.0,1,16.844804
-47.0,1,16.851078
1212.0,400,17.988774
288.0,104,18.243456
-47.0,1,18.245579
148.0,51,18.393889
