#{"t_start": 1764794823.5592375, "env_id": "None"}
r,l,t
-46.0,1,5.715654
-47.0,1,5.720767
-34.0,7,5.74997
-47.0,1,5.753797
-44.0,3,5.76301
-44.0,2,5.767994
-46.0,1,5.770996
-46.0,2,5.776793
36.0,18,5.840403
-46.0,1,5.844012
-47.0,1,5.846029
-44.0,2,5.851306
-47.0,1,5.853668
-42.0,2,5.857416
91.0,39,6.04154
-46.0,1,6.046641
-47.0,1,6.052183
-42.0,2,6.058369
-47.0,1,6.061031
204.0,91,6.994215
-41.0,3,7.003748
-47.0,1,7.005445
-47.0,1,7.009289
-45.0,2,7.015218
-35.0,5,7.080497
-44.0,2,7.083839
-47.0,1,7.095772
-11.0,9,7.117702
-46.0,1,7.119451
14.0,19,7.170613
-44.0,3,7.178783
-7.0,26,7.247858
-47.0,1,7.252084
-47.0,1,7.256333
-46.0,2,7.261777
-47.0,1,7.269006
575.0,204,7.811759
-47.0,1,7.81654
-46.0,1,7.818222
-47.0,1,7.825466
11.0,18,7.875159
-47.0,1,7.87692
-47.0,1,7.878772
-47.0,1,7.881916
-47.0,1,7.887991
-42.0,2,7.891828
-43.0,2,7.89948
-47.0,1,7.90154
-46.0,2,7.904907
-46.0,1,7.909444
-47.0,1,7.912977
-46.0,1,7.915308
-47.0,1,7.919658
66.0,32,8.015606
-47.0,1,8.019528
-28.0,8,8.0507
-46.0,1,8.0545
-47.0,1,8.056922
-41.0,3,8.069118
-46.0,2,8.074472
-8.0,15,8.114177
-46.0,2,8.119681
-47.0,1,8.121265
-35.0,6,8.13334
-47.0,1,8.145646
-47.0,1,8.147277
-47.0,1,8.148762
11.0,14,8.184326
255.0,72,8.388516
-47.0,1,8.390602
-47.0,1,8.39345
-45.0,2,8.400495
386.0,134,8.772874
73.0,58,8.908573
-16.0,9,8.926842
-44.0,4,8.935224
-46.0,1,8.936701
-47.0,1,8.940159
-44.0,2,8.946575
-47.0,1,8.948165
-47.0,1,8.952188
-47.0,1,8.957138
-47.0,1,8.958859
-47.0,1,8.962065
325.0,128,9.301761
37.0,27,9.384333
104.0,64,9.582992
15.0,18,9.645398
-47.0,1,9.657671
-47.0,1,9.662965
-46.0,1,9.666111
-46.0,1,9.669574
-21.0,8,9.704805
-47.0,1,9.725063
-47.0,1,9.726934
74.0,51,9.886568
-44.0,2,9.893486
-47.0,1,9.897635
-34.0,4,9.911387
1131.0,392,10.924499
-35.0,6,10.945352
-46.0,1,10.947345
-46.0,2,10.955464
-46.0,1,10.957669
-47.0,1,10.965505
100.0,42,11.084534
-47.0,1,11.088102
63.0,32,11.161229
-47.0,1,11.16488
-47.0,1,11.167193
-47.0,1,11.178673
-47.0,1,11.182842
63.0,26,11.254086
-47.0,1,11.260123
-47.0,1,11.263161
-46.0,1,11.266404
-47.0,1,11.26996
-25.0,20,11.337191
-47.0,1,11.343552
-16.0,11,11.371674
406.0,180,11.87078
-47.0,1,11.877455
-46.0,2,11.881052
-45.0,2,11.890071
-47.0,1,11.897725
-47.0,1,11.901819
-46.0,1,11.90536
-37.0,7,11.933728
21.0,30,12.021006
-47.0,1,12.022888
-42.0,2,12.026087
-36.0,10,12.050878
-46.0,1,12.052802
-32.0,4,12.060816
-47.0,1,12.062495
-47.0,1,12.068789
-44.0,2,12.071858
-46.0,1,12.073699
-46.0,1,12.077679
-42.0,2,12.081895
1072.0,400,13.561316
-28.0,7,13.594796
313.0,112,14.112248
-45.0,2,14.119329
-45.0,2,14.129014
25.0,25,14.245181
-47.0,1,14.254525
218.0,86,14.6845
-31.0,5,14.707942
-47.0,1,14.712313
-47.0,1,14.718196
-44.0,2,14.724449
-47.0,1,14.727815
-47.0,1,14.73452
-46.0,1,14.737455
-47.0,1,14.739518
-42.0,2,14.749315
-46.0,2,14.755995
15.0,14,14.812107
-31.0,10,14.840385
-46.0,2,14.848225
-46.0,2,14.85223
4.0,16,14.893859
-16.0,7,14.91783
-45.0,2,14.923433
-47.0,1,14.927478
82.0,46,15.062098
22.0,15,15.108449
-46.0,1,15.117909
-46.0,2,15.124178
-47.0,1,15.128097
-45.0,2,15.134208
-39.0,7,15.158276
-47.0,1,15.161035
319.0,124,15.482566
-27.0,8,15.510393
-46.0,1,15.516947
45.0,23,15.596552
-47.0,1,15.602779
-42.0,5,15.613725
-46.0,1,15.617048
-47.0,1,15.619542
-47.0,1,15.630151
-46.0,2,15.637081
-46.0,1,15.640198
-17.0,19,15.712277
-45.0,2,15.721095
174.0,91,15.952945
-40.0,3,15.960989
-47.0,1,15.965455
169.0,90,16.237445
-47.0,1,16.239741
-23.0,9,16.270849
-47.0,1,16.275285
-46.0,1,16.278771
-40.0,6,16.291944
-47.0,1,16.296428
-46.0,2,16.301724
-46.0,1,16.304023
-47.0,1,16.308153
-47.0,1,16.311679
-32.0,5,16.327459
-47.0,1,16.32924
-31.0,5,16.344644
-46.0,2,16.34753
-42.0,3,16.354682
-47.0,1,16.35673
-33.0,5,16.375153
16.0,14,16.404932
-46.0,1,16.406456
-47.0,1,16.40987
-47.0,1,16.414407
131.0,64,16.587182
-44.0,2,16.59224
-47.0,1,16.594365
-43.0,2,16.59999
-47.0,1,16.603482
12.0,14,16.640042
-40.0,8,16.662788
-43.0,3,16.67339
-43.0,2,16.683615
-43.0,5,16.704697
-47.0,1,16.709559
-38.0,3,16.723243
-15.0,8,16.745763
-26.0,9,16.768793
-47.0,1,16.778917
66.0,33,16.864661
-46.0,1,16.866677
2.0,13,16.904788
-46.0,1,16.911262
-46.0,1,16.913198
-44.0,3,16.923178
-44.0,3,16.930424
-46.0,1,16.935549
-47.0,1,16.93773
-47.0,1,16.940707
-47.0,1,16.94393
78.0,32,17.033702
84.0,65,17.216587
-29.0,11,17.247131
154.0,62,17.435597
-46.0,1,17.437145
-46.0,2,17.445446
-47.0,1,17.447747
-47.0,1,17.450431
-39.0,4,17.459633
-47.0,1,17.46119
-18.0,8,17.478925
-47.0,1,17.483422
-35.0,5,17.492851
-43.0,3,17.507475
74.0,33,17.589607
-46.0,2,17.595506
-19.0,8,17.627174
-46.0,1,17.632108
-6.0,11,17.658183
-46.0,2,17.664321
-40.0,5,17.677694
-47.0,1,17.679427
-47.0,1,17.683541
-47.0,1,17.685091
-47.0,1,17.688734
84.0,49,17.82915
1.0,19,17.88279
-24.0,10,17.913703
-47.0,1,17.915974
-45.0,2,17.925582
-44.0,2,17.931268
-46.0,2,17.937963
-36.0,4,17.946933
-46.0,2,17.952556
11.0,14,17.985858
-28.0,6,18.003236
-47.0,1,18.004907
-44.0,2,18.010527
-42.0,2,18.015857
-47.0,1,18.018042
120.0,55,18.154358
-41.0,3,18.163666
-6.0,23,18.209397
139.0,63,18.390519
-47.0,1,18.394697
-46.0,1,18.39764
21.0,17,18.450538
24.0,20,18.511343
-47.0,1,18.514029
-46.0,1,18.520862
-47.0,1,18.525163
-46.0,1,18.527363
