#{"t_start": 1764794823.5574932, "env_id": "None"}
r,l,t
-45.0,2,5.721111
-47.0,1,5.72873
-46.0,1,5.733561
-30.0,5,5.751004
-47.0,1,5.754785
-46.0,2,5.761525
-15.0,8,5.786164
33.0,29,5.873731
-46.0,1,5.877027
-46.0,2,5.88435
-47.0,1,5.886103
-47.0,1,5.887851
-46.0,2,5.892876
-17.0,8,6.010582
158.0,69,6.888585
-47.0,1,6.890801
14.0,19,6.939137
-40.0,3,6.943768
33.0,24,7.000646
-47.0,1,7.004876
-42.0,2,7.010227
17.0,22,7.126366
-39.0,5,7.139966
-47.0,1,7.141593
-47.0,1,7.145392
-18.0,7,7.162991
-45.0,2,7.168385
-40.0,3,7.175874
-46.0,1,7.179914
-31.0,12,7.214932
-47.0,1,7.216479
-25.0,8,7.235422
51.0,50,7.373547
96.0,44,7.486009
-33.0,9,7.515635
-47.0,1,7.519226
-47.0,1,7.521089
-47.0,1,7.524984
-38.0,7,7.546592
-47.0,1,7.548746
176.0,63,7.700647
-44.0,2,7.708098
-41.0,4,7.716352
-47.0,1,7.719087
-35.0,4,7.736333
-47.0,1,7.7404
-46.0,2,7.74666
-47.0,1,7.748254
-46.0,2,7.753351
-47.0,1,7.758268
-46.0,2,7.761187
-46.0,1,7.762678
-47.0,1,7.768511
-43.0,2,7.77192
-47.0,1,7.775156
-47.0,1,7.779881
-46.0,1,7.782544
-46.0,1,7.785633
-46.0,1,7.78773
-39.0,4,7.801547
-47.0,1,7.806123
-47.0,1,7.807815
-47.0,1,7.809503
-44.0,4,7.825807
-46.0,2,7.834787
236.0,66,8.025858
-47.0,1,8.032139
-41.0,3,8.044151
-47.0,1,8.045834
-47.0,1,8.051802
-47.0,1,8.055422
-46.0,1,8.058027
-46.0,2,8.065873
101.0,42,8.176295
173.0,82,8.413798
-46.0,2,8.417194
-46.0,1,8.418859
-12.0,15,8.46881
-46.0,1,8.472297
64.0,34,8.566472
12.0,14,8.596539
-46.0,2,8.601926
-46.0,1,8.603644
-47.0,1,8.605483
-47.0,1,8.611631
-46.0,2,8.61492
-47.0,1,8.616756
-45.0,2,8.622715
-46.0,1,8.625874
-28.0,10,8.647416
-38.0,5,8.664131
-45.0,2,8.667133
-47.0,1,8.673082
71.0,27,8.739832
-46.0,2,8.750239
-47.0,1,8.753588
-46.0,1,8.757306
-46.0,2,8.770012
-41.0,6,8.784655
-47.0,1,8.790998
-40.0,3,8.795977
-19.0,8,8.813426
-46.0,1,8.819081
-47.0,1,8.820689
-47.0,1,8.822276
144.0,78,9.020221
8.0,18,9.062569
-42.0,2,9.067998
-47.0,1,9.069678
-46.0,2,9.074353
-46.0,1,9.086245
-35.0,6,9.097333
-47.0,1,9.100818
-47.0,1,9.1051
128.0,52,9.238341
-47.0,1,9.239785
-47.0,1,9.241451
-47.0,1,9.244743
-46.0,2,9.250459
-46.0,1,9.251986
-40.0,3,9.260497
-47.0,1,9.261993
-46.0,1,9.263617
-4.0,16,9.305148
-45.0,2,9.310678
96.0,56,9.48168
-47.0,1,9.48483
-47.0,1,9.486888
-47.0,1,9.492723
-47.0,1,9.495136
-2.0,12,9.536179
-47.0,1,9.53895
-26.0,8,9.561687
-46.0,1,9.564196
-44.0,2,9.572155
-3.0,14,9.616313
-47.0,1,9.622661
-44.0,4,9.634848
-44.0,2,9.639799
-46.0,2,9.658171
758.0,303,10.513538
-47.0,1,10.519556
-46.0,2,10.522952
-47.0,1,10.525248
-46.0,2,10.532539
-47.0,1,10.534875
-47.0,1,10.53846
-32.0,8,10.567925
-44.0,3,10.577484
-47.0,1,10.579558
-32.0,6,10.598973
-47.0,1,10.602692
-47.0,1,10.606179
-47.0,1,10.611597
-46.0,1,10.61521
224.0,92,10.843446
1.0,13,10.87613
504.0,151,11.294286
-46.0,2,11.299643
-46.0,2,11.307281
-42.0,2,11.310469
-47.0,1,11.316624
-46.0,2,11.320232
-44.0,3,11.33185
-46.0,1,11.336
1.0,12,11.370509
829.0,288,12.1617
-47.0,1,12.16318
97.0,54,12.305206
127.0,89,12.674635
-46.0,1,12.678976
-46.0,2,12.688488
-46.0,1,12.691888
-46.0,1,12.697201
-24.0,11,12.749907
-47.0,1,12.755819
-47.0,1,12.764569
-22.0,6,12.786597
-47.0,1,12.789748
-44.0,2,12.800012
-32.0,6,12.819975
-40.0,3,12.834417
-46.0,1,12.837572
35.0,45,13.017746
-46.0,1,13.020879
-46.0,1,13.024673
-47.0,1,13.030056
78.0,30,13.142932
-47.0,1,13.14571
-47.0,1,13.148125
-39.0,5,13.176525
9.0,18,13.228851
-36.0,6,13.248297
-46.0,1,13.253414
-47.0,1,13.256218
-41.0,2,13.264244
34.0,23,13.353364
-46.0,1,13.361661
-46.0,1,13.367867
-47.0,1,13.37084
-42.0,2,13.382402
-24.0,7,13.428859
-44.0,2,13.440129
70.0,39,13.592387
-46.0,1,13.595579
-42.0,2,13.609769
-47.0,1,13.617842
-15.0,12,13.662446
-47.0,1,13.66514
95.0,38,13.846663
-38.0,3,13.864175
-46.0,1,13.867583
-35.0,5,13.893131
-46.0,1,13.896846
-46.0,1,13.901086
-47.0,1,13.907558
90.0,56,14.159325
-46.0,1,14.165369
-29.0,5,14.187385
-47.0,1,14.193475
-47.0,1,14.19733
-46.0,2,14.209631
-47.0,1,14.21267
-44.0,4,14.22541
-47.0,1,14.230273
11.0,36,14.414382
-40.0,3,14.427942
-47.0,1,14.43098
-46.0,1,14.440624
-22.0,7,14.479828
-41.0,3,14.500495
-46.0,1,14.505856
-42.0,2,14.518971
-47.0,1,14.523473
-46.0,1,14.529813
-47.0,1,14.537323
-47.0,1,14.542135
-45.0,2,14.55149
-46.0,2,14.561439
8.0,12,14.634113
-47.0,1,14.638013
-47.0,1,14.643854
-44.0,4,14.656357
-46.0,1,14.661678
453.0,144,15.125354
-47.0,1,15.12919
-44.0,2,15.135135
-47.0,1,15.139973
-41.0,4,15.154795
106.0,34,15.246396
-47.0,1,15.248269
148.0,62,15.392766
-47.0,1,15.394742
-46.0,1,15.396739
-46.0,1,15.401603
-47.0,1,15.40431
-46.0,2,15.407991
-39.0,5,15.426518
-46.0,1,15.429989
7.0,15,15.476325
-47.0,1,15.479125
-40.0,3,15.490634
-47.0,1,15.492821
-2.0,13,15.543921
-47.0,1,15.54741
55.0,26,15.636121
-47.0,1,15.637991
-23.0,6,15.666703
-41.0,3,15.679086
-35.0,5,15.697976
-47.0,1,15.699661
-46.0,1,15.701778
-39.0,5,15.71601
-47.0,1,15.721821
-16.0,8,15.75441
-47.0,1,15.758305
-46.0,1,15.760344
-47.0,1,15.762176
376.0,124,16.091085
-46.0,1,16.095937
-43.0,2,16.101933
-46.0,2,16.110543
-46.0,2,16.113763
37.0,23,16.180484
-47.0,1,16.182046
-46.0,1,16.183673
-47.0,1,16.189976
187.0,76,16.404711
-27.0,6,16.418742
-47.0,1,16.420724
-47.0,1,16.426504
-40.0,5,16.436214
-46.0,1,16.437702
175.0,62,16.610954
-46.0,2,16.614632
107.0,37,16.7351
38.0,32,16.824805
-46.0,2,16.830103
-47.0,1,16.831763
-46.0,1,16.834508
-46.0,1,16.840681
-47.0,1,16.842411
-35.0,4,16.855382
-47.0,1,16.85851
-9.0,15,16.902695
-46.0,2,16.905988
-46.0,1,16.912431
-38.0,4,16.924286
-46.0,1,16.926682
-37.0,7,16.951543
-46.0,2,16.954916
-47.0,1,16.956597
-38.0,4,16.967635
-46.0,1,16.97181
-47.0,1,16.973894
-47.0,1,16.976017
-34.0,9,17.001452
-46.0,2,17.007068
-46.0,2,17.010745
-4.0,15,17.053128
-47.0,1,17.05617
-47.0,1,17.06038
-46.0,2,17.06597
-46.0,2,17.071663
-42.0,2,17.074902
-47.0,1,17.076613
-47.0,1,17.082221
-47.0,1,17.083801
-44.0,2,17.087578
-46.0,2,17.098323
-45.0,2,17.103682
-28.0,6,17.118568
-44.0,2,17.121206
-46.0,1,17.125225
-36.0,6,17.138592
-46.0,1,17.140107
-47.0,1,17.144685
-46.0,2,17.149749
-47.0,1,17.152513
-47.0,1,17.156962
-45.0,3,17.163297
-46.0,1,17.168786
-32.0,7,17.187163
29.0,19,17.245238
55.0,31,17.342113
-47.0,1,17.344076
-47.0,1,17.345984
-9.0,9,17.369107
128.0,55,17.520447
-47.0,1,17.526829
-29.0,5,17.540239
31.0,24,17.603082
-47.0,1,17.605197
-46.0,2,17.61978
-44.0,3,17.628074
-47.0,1,17.633185
-46.0,2,17.639096
-47.0,1,17.641146
234.0,76,17.853456
-47.0,1,17.857915
-47.0,1,17.859697
-46.0,1,17.862954
215.0,83,18.090774
-46.0,2,18.094219
71.0,27,18.155613
153.0,72,18.339061
-47.0,1,18.34634
174.0,66,18.556603
-47.0,1,18.558919
-41.0,3,18.566538
-47.0,1,18.569527
-41.0,2,18.578
-41.0,5,18.595462
-45.0,2,18.601341
-47.0,1,18.610371
-18.0,7,18.628814
-42.0,2,18.637672
-47.0,1,18.639698
-47.0,1,18.641459
84.0,38,18.760904
40.0,40,18.875942
-31.0,8,18.896325
-46.0,1,18.897999
-26.0,9,18.920863
215.0,91,19.165018
-47.0,1,19.166789
-47.0,1,19.176311
53.0,31,19.266026
-47.0,1,19.275549
-47.0,1,19.278249
-46.0,1,19.280416
-46.0,1,19.282656
-45.0,3,19.29522
-47.0,1,19.297449
-47.0,1,19.304522
-46.0,2,19.309839
-46.0,1,19.311743
-47.0,1,19.31657
-39.0,3,19.324167
-47.0,1,19.329118
130.0,52,19.477767
-38.0,4,19.500712
-41.0,3,19.509758
46.0,22,19.590827
-33.0,8,19.616387
-42.0,2,19.621874
-46.0,1,19.628461
-47.0,1,19.631983
-46.0,1,19.6349
55.0,41,19.756002
-46.0,1,19.763342
-42.0,2,19.766946
-47.0,1,19.769812
-31.0,5,19.78513
-47.0,1,19.788978
-47.0,1,19.7924
774.0,228,20.472517
-46.0,1,20.474602
-45.0,2,20.482117
-28.0,6,20.499547
-28.0,9,20.526149
-43.0,2,20.537809
-47.0,1,20.541656
-47.0,1,20.548346
-47.0,1,20.550111
-44.0,3,20.560134
-44.0,2,20.565363
-43.0,3,20.573136
10.0,20,20.622503
-47.0,1,20.625958
53.0,26,20.689243
-47.0,1,20.693418
-47.0,1,20.69707
-46.0,1,20.699623
-47.0,1,20.707533
-47.0,1,20.710091
46.0,21,20.773733
-25.0,13,20.806303
-46.0,1,20.813336
-42.0,2,20.819738
-47.0,1,20.821981
-47.0,1,20.82955
2.0,11,20.882572
-44.0,4,20.892243
42.0,22,20.961172
-46.0,1,20.964905
-46.0,1,20.967287
-41.0,3,20.979299
-36.0,4,20.991123
-47.0,1,20.993425
-46.0,2,21.00117
-47.0,1,21.002998
-47.0,1,21.005092
