#{"t_start": 1764794823.5620759, "env_id": "None"}
r,l,t
22.0,17,5.771341
104.0,66,6.044736
-45.0,2,6.054326
-41.0,4,6.063549
-39.0,3,6.069264
-42.0,2,6.072404
-46.0,1,6.075259
-47.0,1,6.077261
-41.0,3,6.083108
-42.0,2,6.087332
-46.0,1,6.090809
-46.0,2,6.094646
-46.0,2,6.098632
-46.0,2,6.10312
-47.0,1,6.108521
142.0,74,7.007155
-32.0,5,7.020691
-46.0,2,7.078413
-45.0,2,7.081764
600.0,235,7.706837
-47.0,1,7.708442
-47.0,1,7.712641
-47.0,1,7.721415
-40.0,4,7.732761
-15.0,11,7.764915
48.0,23,7.836147
-46.0,1,7.842272
-47.0,1,7.844091
-47.0,1,7.845835
1354.0,400,8.946115
-47.0,1,8.950319
-29.0,5,8.967523
-47.0,1,8.972199
-47.0,1,8.974336
-40.0,3,8.985231
-45.0,3,8.994552
-42.0,6,9.008987
-5.0,13,9.041023
-46.0,1,9.044868
-47.0,1,9.046672
-45.0,2,9.051673
394.0,128,9.400899
-46.0,2,9.408799
-46.0,1,9.410828
-47.0,1,9.414067
-46.0,1,9.419159
-46.0,1,9.420996
-46.0,2,9.426061
-47.0,1,9.431798
-46.0,2,9.435323
-47.0,1,9.438833
50.0,21,9.506332
-47.0,1,9.508917
-16.0,8,9.533153
-46.0,1,9.535355
-44.0,2,9.54302
-47.0,1,9.544657
-47.0,1,9.546267
-47.0,1,9.548039
-47.0,1,9.553851
-42.0,2,9.55842
-46.0,2,9.566505
160.0,78,9.855743
-47.0,1,9.857535
-10.0,11,9.891918
-46.0,1,9.896
-47.0,1,9.901028
-47.0,1,9.905323
-38.0,4,9.916041
-47.0,1,9.918385
-10.0,13,9.954834
37.0,27,10.015815
-46.0,2,10.022525
-47.0,1,10.02724
-47.0,1,10.031635
-47.0,1,10.037173
-47.0,1,10.042572
-39.0,8,10.063161
-47.0,1,10.064931
-47.0,1,10.066398
-47.0,1,10.068329
-39.0,3,10.077916
462.0,160,10.492161
39.0,37,10.603029
76.0,40,10.7049
-47.0,1,10.709093
-47.0,1,10.710879
-46.0,2,10.714381
-47.0,1,10.721662
47.0,25,10.784388
284.0,95,11.026267
-39.0,3,11.032069
-46.0,1,11.03698
-42.0,2,11.043103
-38.0,5,11.053077
-47.0,1,11.057021
13.0,16,11.100787
-19.0,14,11.128791
40.0,24,11.20184
-43.0,5,11.213488
-43.0,2,11.221941
-46.0,1,11.225536
-47.0,1,11.227391
-46.0,1,11.233792
-46.0,1,11.235652
71.0,45,11.384045
-46.0,1,11.385824
-8.0,17,11.444666
114.0,41,11.549984
-46.0,1,11.552255
-47.0,1,11.555705
-46.0,2,11.56369
20.0,16,11.625247
280.0,95,11.860873
-45.0,2,11.866639
-46.0,1,11.868965
-42.0,6,11.896676
582.0,169,12.341434
-46.0,2,12.347328
-33.0,6,12.362471
-47.0,1,12.364085
-46.0,1,12.369913
-47.0,1,12.371478
-42.0,3,12.377891
-46.0,1,12.379974
-47.0,1,12.386229
-46.0,1,12.391013
-41.0,2,12.407127
109.0,38,12.585604
-46.0,2,12.596157
-40.0,3,12.612286
153.0,60,12.884244
7.0,17,12.947446
-46.0,2,12.95711
254.0,94,13.295496
-47.0,1,13.300706
-34.0,5,13.315003
-36.0,4,13.333507
-44.0,3,13.347322
-44.0,2,13.359141
-46.0,2,13.368034
-47.0,1,13.373227
-47.0,1,13.38578
-46.0,1,13.392586
397.0,156,14.091409
-24.0,15,14.162568
-46.0,2,14.169826
-47.0,1,14.174339
3.0,12,14.227383
-47.0,1,14.234747
-47.0,1,14.237987
-29.0,7,14.284134
-47.0,1,14.288875
-47.0,1,14.29475
-47.0,1,14.297918
-47.0,1,14.304273
-47.0,1,14.310805
-47.0,1,14.313622
251.0,150,14.934314
-46.0,1,14.936065
-44.0,2,14.943559
39.0,34,15.041291
-41.0,3,15.05505
-44.0,2,15.060395
-47.0,1,15.06503
-41.0,3,15.076865
-20.0,7,15.093742
-42.0,2,15.09981
-46.0,2,15.109313
-46.0,2,15.11723
-47.0,1,15.122016
-47.0,1,15.126046
247.0,113,15.412053
-35.0,4,15.429421
-28.0,7,15.448367
-41.0,2,15.452001
-47.0,1,15.458588
-47.0,1,15.46126
-46.0,2,15.466762
-27.0,10,15.501993
-46.0,1,15.505149
-47.0,1,15.508362
-47.0,1,15.514864
-47.0,1,15.516948
-47.0,1,15.525049
-44.0,2,15.53408
-45.0,2,15.540602
-46.0,1,15.544172
-47.0,1,15.550997
-47.0,1,15.555016
-47.0,1,15.557337
-46.0,1,15.561549
-25.0,8,15.582217
-47.0,1,15.588088
-47.0,1,15.589882
-46.0,2,15.594414
-18.0,15,15.650355
-47.0,1,15.653617
-46.0,1,15.664231
-46.0,1,15.667776
46.0,23,15.750872
56.0,24,15.80816
87.0,38,15.890826
-46.0,1,15.892323
-46.0,1,15.896158
-45.0,3,15.899969
-46.0,1,15.906098
-46.0,1,15.907876
-47.0,1,15.909456
45.0,20,15.975697
-47.0,1,15.977733
-1.0,10,16.006783
7.0,17,16.05868
-46.0,1,16.060821
-42.0,2,16.069881
-46.0,2,16.074976
-42.0,6,16.095427
873.0,294,16.941731
346.0,151,17.370108
-47.0,1,17.372238
-47.0,1,17.377812
-46.0,2,17.382063
-47.0,1,17.385914
-47.0,1,17.390962
-46.0,1,17.392592
-47.0,1,17.394312
-47.0,1,17.402231
-47.0,1,17.410342
-45.0,2,17.413673
-46.0,2,17.421095
-47.0,1,17.42496
-47.0,1,17.426531
-28.0,5,17.43729
-47.0,1,17.443766
-47.0,1,17.445572
-1.0,17,17.483733
-6.0,12,17.515101
-47.0,1,17.516814
-47.0,1,17.52324
-42.0,2,17.526189
-46.0,1,17.527894
-47.0,1,17.534635
33.0,20,17.585264
20.0,44,17.716638
-38.0,4,17.731772
-47.0,1,17.734572
-47.0,1,17.740097
-46.0,1,17.743047
-7.0,20,17.790772
15.0,17,17.842498
-46.0,2,17.847661
107.0,41,17.964921
9.0,13,17.99912
5.0,17,18.047271
120.0,54,18.172826
119.0,62,18.330629
-47.0,1,18.336197
-47.0,1,18.344252
89.0,50,18.490625
-42.0,2,18.49633
-46.0,1,18.502671
-47.0,1,18.504693
-47.0,1,18.509319
-47.0,1,18.511999
-47.0,1,18.518773
-47.0,1,18.523185
-8.0,12,18.563005
86.0,39,18.692137
-46.0,1,18.695809
-46.0,2,18.700066
-47.0,1,18.706074
127.0,66,18.894614
-39.0,7,18.91412
-29.0,5,18.923708
-46.0,1,18.925238
-44.0,2,18.932533
-21.0,6,18.94563
24.0,26,19.018869
-47.0,1,19.022557
-46.0,1,19.025468
-47.0,1,19.029944
-16.0,9,19.054
-47.0,1,19.055839
-42.0,5,19.072477
-41.0,3,19.079321
-47.0,1,19.082443
-45.0,2,19.088198
-2.0,12,19.119509
-39.0,3,19.126606
-47.0,1,19.12868
-47.0,1,19.132293
219.0,80,19.376754
-47.0,1,19.384027
-45.0,2,19.390798
24.0,16,19.428049
-40.0,3,19.435686
-17.0,7,19.45241
-46.0,2,19.460952
-47.0,1,19.464485
-47.0,1,19.467748
-47.0,1,19.474868
-36.0,4,19.49725
17.0,17,19.554302
-46.0,1,19.557214
-47.0,1,19.559435
-47.0,1,19.566272
100.0,74,19.816196
13.0,14,19.857239
-45.0,2,19.861347
-41.0,3,19.871092
-47.0,1,19.872957
-46.0,1,19.874959
-47.0,1,19.880941
-40.0,3,19.88577
-47.0,1,19.89264
120.0,44,20.037299
-44.0,4,20.049279
-46.0,1,20.052965
-47.0,1,20.055884
-46.0,1,20.057893
-47.0,1,20.065961
-42.0,2,20.070525
-47.0,1,20.073601
-42.0,3,20.0835
-47.0,1,20.085644
-42.0,2,20.095508
810.0,232,20.744448
-46.0,1,20.746412
-46.0,2,20.755313
-39.0,3,20.760644
-36.0,4,20.772099
-45.0,2,20.77793
-28.0,8,20.798423
-47.0,1,20.80031
-46.0,1,20.802837
-46.0,1,20.810036
-46.0,1,20.812236
-46.0,1,20.816182
-46.0,1,20.818487
-46.0,1,20.827854
-37.0,3,20.843004
-40.0,3,20.86265
-46.0,1,20.86487
-46.0,1,20.87161
-46.0,1,20.873719
-39.0,9,20.900957
43.0,21,20.964198
-47.0,1,20.969846
-46.0,1,20.973759
-47.0,1,20.975916
-40.0,3,20.984105
-47.0,1,20.987949
-46.0,1,20.990015
-38.0,3,20.999447
16.0,15,21.054268
-47.0,1,21.060434
