#{"t_start": 1764802352.1683707, "env_id": "None"}
r,l,t
-44.0,3,6.302306
-46.0,2,6.314574
483.0,188,7.512571
-28.0,5,7.531916
-45.0,2,7.537193
-23.0,6,7.562897
-44.0,2,7.56833
-47.0,1,7.571223
-12.0,12,7.624301
486.0,240,8.566225
-9.0,14,8.612495
-47.0,1,8.61935
-46.0,2,8.625318
-46.0,1,8.628967
-47.0,1,8.641167
-47.0,1,8.650538
-23.0,13,8.695601
-46.0,1,8.699491
-31.0,8,8.731747
-47.0,1,8.7399
20.0,24,8.826181
589.0,243,9.75773
-47.0,1,9.760626
-47.0,1,9.769013
59.0,29,9.877295
-47.0,1,9.88069
-47.0,1,9.88432
446.0,164,10.522378
278.0,89,10.854524
4.0,12,10.896066
-47.0,1,10.904697
-34.0,5,10.922998
-47.0,1,10.929845
-46.0,1,10.932709
-47.0,1,10.935524
-11.0,9,10.968047
21.0,19,11.053184
-43.0,2,11.05832
-45.0,2,11.063485
-47.0,1,11.070401
-5.0,11,11.110527
258.0,75,11.403671
-47.0,1,11.406988
-47.0,1,11.409811
-46.0,1,11.41273
-47.0,1,11.427229
-46.0,2,11.433762
-47.0,1,11.437177
-47.0,1,11.440127
-39.0,3,11.453172
-43.0,2,11.458866
-39.0,4,11.474279
7.0,14,11.533287
-47.0,1,11.536163
-46.0,2,11.546948
21.0,16,11.604486
-10.0,12,11.654649
61.0,33,11.785326
-30.0,5,11.804717
1027.0,281,12.922424
-37.0,5,12.940326
-46.0,2,12.946032
-46.0,1,12.953238
-46.0,1,12.956789
-47.0,1,12.959928
-47.0,1,12.96317
-45.0,2,12.979666
-27.0,6,13.000217
-43.0,2,13.006312
-46.0,1,13.009247
-46.0,1,13.016627
-44.0,2,13.022068
-46.0,2,13.027941
-46.0,1,13.035042
-45.0,2,13.043975
-47.0,1,13.049392
-7.0,15,13.119903
-46.0,1,13.122783
52.0,29,13.241342
-47.0,1,13.244222
104.0,42,13.409077
2.0,12,13.450012
-41.0,5,13.467397
-42.0,2,13.476856
-47.0,1,13.479627
-26.0,8,13.513231
14.0,18,13.577301
-46.0,1,13.580162
-46.0,1,13.582837
-46.0,1,13.59341
-46.0,1,13.598849
170.0,77,13.877314
19.0,27,13.989766
162.0,67,14.260589
-47.0,1,14.263913
-47.0,1,14.267246
-35.0,6,14.293462
-46.0,1,14.296376
680.0,208,15.086541
-46.0,1,15.093622
-46.0,1,15.096357
110.0,52,15.295817
-46.0,1,15.298568
-47.0,1,15.305997
374.0,140,15.847682
-43.0,2,15.853306
-46.0,1,15.856136
-44.0,2,15.873144
-40.0,3,15.881279
-46.0,1,15.884456
-47.0,1,15.891426
