#{"t_start": 1764802352.1714852, "env_id": "None"}
r,l,t
-46.0,2,6.294969
-46.0,1,6.301846
-44.0,3,6.797569
700.0,246,7.738824
-47.0,1,7.741687
200.0,68,8.027723
-40.0,6,8.046645
-47.0,1,8.049431
-47.0,1,8.052248
-28.0,5,8.069083
-47.0,1,8.0722
-47.0,1,8.07906
325.0,112,8.510067
13.0,14,8.566778
-43.0,2,8.572462
-21.0,14,8.62325
-47.0,1,8.630039
-47.0,1,8.639998
262.0,152,9.232677
-47.0,1,9.235516
-44.0,2,9.241235
-45.0,2,9.258579
-47.0,1,9.261785
64.0,32,9.375002
-45.0,2,9.384571
2.0,12,9.423934
-46.0,1,9.426749
-46.0,1,9.433746
-34.0,4,9.44483
-10.0,9,9.482093
-47.0,1,9.48477
-46.0,1,9.491916
-5.0,10,9.529467
-46.0,1,9.532402
-47.0,1,9.535412
-47.0,1,9.538105
-38.0,4,9.5613
218.0,98,9.927527
-47.0,1,9.93224
-44.0,2,9.941303
-27.0,16,10.010675
-41.0,3,10.023818
-47.0,1,10.027006
310.0,146,10.576905
-47.0,1,10.584234
-46.0,1,10.592677
430.0,145,11.150135
-47.0,1,11.152872
-22.0,8,11.183307
108.0,52,11.385576
-45.0,2,11.39131
-47.0,1,11.398343
-46.0,1,11.401443
196.0,64,11.661936
146.0,49,11.855343
-47.0,1,11.862408
24.0,17,11.92258
-43.0,3,11.940809
-47.0,1,11.943781
-46.0,1,11.947191
205.0,88,12.303144
-46.0,1,12.305957
-47.0,1,12.308727
-47.0,1,12.311545
-47.0,1,12.314213
150.0,63,12.564068
-46.0,1,12.567219
-47.0,1,12.570135
397.0,116,13.032834
-13.0,12,13.095743
-46.0,2,13.10176
15.0,14,13.156133
73.0,34,13.29568
-46.0,1,13.298548
-47.0,1,13.301418
4.0,17,13.363485
-46.0,1,13.366392
346.0,135,13.872092
-46.0,1,13.875152
-47.0,1,13.877964
-47.0,1,13.885067
-45.0,2,13.89051
-46.0,1,13.893755
-46.0,1,13.902618
-13.0,9,13.93676
-43.0,2,13.94659
-24.0,6,13.968916
-46.0,2,13.97598
-46.0,1,13.979691
-46.0,2,13.990769
-46.0,1,13.994065
-46.0,2,14.006235
-46.0,1,14.014242
-47.0,1,14.017124
-39.0,5,14.035702
-25.0,6,14.055904
-47.0,1,14.058991
-40.0,3,14.070976
-47.0,1,14.073663
-46.0,2,14.081502
-34.0,4,14.111229
87.0,34,14.23991
-46.0,2,14.245627
-44.0,3,14.258372
-46.0,1,14.261625
-46.0,1,14.26498
-16.0,13,14.320591
67.0,28,14.43474
-47.0,1,14.437638
-34.0,7,14.461142
548.0,157,15.056405
-46.0,1,15.05912
-46.0,1,15.061892
658.0,196,15.818614
373.0,125,16.319581
-47.0,1,16.322508
50.0,37,16.479913
73.0,56,16.794604
-46.0,2,16.802139
342.0,120,17.474288
-35.0,4,17.495311
-47.0,1,17.499313
-47.0,1,17.508219
350.0,101,18.045874
-46.0,1,18.049719
-47.0,1,18.053984
-18.0,8,18.09911
-44.0,2,18.119294
-47.0,1,18.12885
65.0,34,18.356069
-47.0,1,18.360984
-46.0,1,18.372692
-21.0,8,18.414352
72.0,45,18.637365
-47.0,1,18.640661
-47.0,1,18.654089
-46.0,1,18.657481
-47.0,1,18.660573
-47.0,1,18.664087
-44.0,3,18.677718
-46.0,1,18.680821
-46.0,1,18.683879
-46.0,1,18.687036
-46.0,1,18.694613
-46.0,2,18.700386
-42.0,2,18.706533
-45.0,2,18.716509
-46.0,1,18.719509
-46.0,1,18.723411
-3.0,11,18.769391
-47.0,1,18.776507
-46.0,1,18.779216
-46.0,1,18.781914
-47.0,1,18.784644
-9.0,13,18.830388
-47.0,1,18.833215
243.0,81,19.135019
-19.0,9,19.173855
-47.0,1,19.176838
136.0,50,19.381041
354.0,105,19.774894
596.0,163,20.394419
19.0,16,20.470725
276.0,106,20.867138
116.0,56,21.077569
-46.0,2,21.087778
805.0,219,21.925409
-46.0,1,21.928102
-44.0,2,21.933475
-41.0,3,21.94521
72.0,31,22.069534
-47.0,1,22.07248
-44.0,2,22.08223
-46.0,2,22.08804
178.0,61,22.32248
-24.0,6,22.343635
-46.0,1,22.350849
32.0,25,22.444898
-46.0,1,22.447759
57.0,36,22.611504
-21.0,8,22.643943
240.0,90,23.005045
-46.0,1,23.008025
-19.0,8,23.033773
-47.0,1,23.040711
-46.0,2,23.046157
33.0,20,23.124595
-47.0,1,23.127347
-38.0,3,23.139184
-46.0,1,23.142092
-45.0,3,23.154133
3.0,11,23.197976
-45.0,2,23.20422
-47.0,1,23.207659
157.0,60,23.433357
183.0,65,23.684907
-47.0,1,23.692056
170.0,74,23.962674
-44.0,2,23.973917
-44.0,3,23.984054
-47.0,1,23.99196
-46.0,1,23.99486
564.0,152,24.586428
-47.0,1,24.589753
-46.0,2,24.60004
112.0,41,24.75969
-47.0,1,24.762527
-31.0,6,24.78242
-47.0,1,24.78957
-46.0,2,24.795122
810.0,219,25.636454
355.0,102,26.024982
-46.0,1,26.028879
76.0,35,26.181947
-6.0,12,26.228175
-47.0,1,26.231011
-44.0,2,26.236446
-5.0,16,26.304388
-44.0,2,26.310039
-44.0,4,26.325095
-47.0,1,26.328008
-47.0,1,26.331661
-40.0,5,26.350284
152.0,59,26.574209
-27.0,9,26.613845
41.0,23,26.713922
-47.0,1,26.720975
-46.0,1,26.723962
-44.0,2,26.729754
-39.0,7,26.759108
944.0,264,27.767117
-41.0,3,27.779573
137.0,49,27.976051
-47.0,1,27.97941
-44.0,2,27.985891
79.0,48,28.172519
-45.0,2,28.178106
6.0,17,28.241916
-47.0,1,28.244912
-41.0,3,28.263344
180.0,53,28.456157
-44.0,2,28.47302
-31.0,6,28.493482
-47.0,1,28.496649
-44.0,2,28.502434
