#{"t_start": 1764802352.170011, "env_id": "None"}
r,l,t
-47.0,1,6.288613
-47.0,1,6.294916
-47.0,1,6.301777
-41.0,3,6.798307
-46.0,2,6.804952
89.0,46,7.000909
-45.0,2,7.010316
-47.0,1,7.013045
19.0,27,7.111668
-44.0,4,7.12579
-44.0,3,7.137524
-46.0,2,7.142512
-46.0,1,7.145184
-47.0,1,7.147917
-46.0,2,7.157298
55.0,37,7.290932
3.0,15,7.341014
-47.0,1,7.34498
-36.0,3,7.360076
-47.0,1,7.362774
16.0,14,7.418674
3.0,17,7.474442
-40.0,6,7.505961
-46.0,1,7.508618
-38.0,3,7.516942
-37.0,5,7.536167
-47.0,1,7.543079
-46.0,1,7.54623
-46.0,2,7.551759
-17.0,13,7.607896
-43.0,2,7.613383
-46.0,2,7.623403
-43.0,2,7.628887
-46.0,1,7.631834
-46.0,1,7.634592
-27.0,7,7.661538
-18.0,8,7.694427
-47.0,1,7.702249
496.0,175,8.398237
-38.0,3,8.406097
-46.0,1,8.409062
82.0,35,8.540116
-46.0,1,8.547212
-46.0,1,8.549938
-42.0,2,8.555058
-47.0,1,8.557944
-46.0,2,8.567676
-47.0,1,8.570791
-29.0,6,8.591196
-26.0,8,8.621141
-47.0,1,8.624249
-46.0,1,8.630765
-36.0,9,8.672695
-46.0,1,8.675793
-47.0,1,8.678683
-47.0,1,8.685585
-47.0,1,8.688526
4.0,12,8.739583
-45.0,3,8.752491
197.0,78,9.055763
-42.0,5,9.073667
-47.0,1,9.080918
98.0,38,9.221979
87.0,45,9.391051
-43.0,5,9.408144
41.0,27,9.511244
-47.0,1,9.513969
-47.0,1,9.516863
-46.0,1,9.520315
-47.0,1,9.523205
-47.0,1,9.530316
-42.0,2,9.536257
-42.0,2,9.54201
-47.0,1,9.549025
-47.0,1,9.551913
-38.0,6,9.581466
-47.0,1,9.584603
-47.0,1,9.587525
-47.0,1,9.594771
-47.0,1,9.597988
152.0,61,9.81929
136.0,53,10.038571
-45.0,2,10.044551
234.0,81,10.35095
159.0,58,10.569668
-39.0,7,10.600286
-46.0,1,10.603255
-46.0,1,10.610367
31.0,17,10.668265
-47.0,1,10.671134
-47.0,1,10.673861
-46.0,2,10.6832
-47.0,1,10.685888
-47.0,1,10.688769
-47.0,1,10.69678
-44.0,2,10.708723
-47.0,1,10.711624
-47.0,1,10.714378
-26.0,8,10.742223
92.0,37,10.87691
-46.0,1,10.879826
-47.0,1,10.886783
143.0,57,11.116754
-47.0,1,11.120942
-46.0,2,11.130831
-21.0,11,11.169079
-45.0,2,11.174611
-8.0,9,11.214438
30.0,28,11.328011
-47.0,1,11.330927
-20.0,9,11.363242
-47.0,1,11.366614
-47.0,1,11.369548
392.0,145,11.947831
-35.0,4,11.964146
73.0,31,12.099391
-46.0,1,12.102138
-47.0,1,12.105561
-32.0,5,12.123638
-46.0,1,12.130859
-37.0,5,12.156283
119.0,37,12.292471
17.0,17,12.357577
-47.0,1,12.368543
-44.0,2,12.375566
-38.0,5,12.395521
-11.0,10,12.429008
-6.0,10,12.469637
502.0,144,13.037943
-46.0,1,13.043413
-46.0,2,13.053247
-47.0,1,13.063922
27.0,18,13.137475
-46.0,1,13.140481
-45.0,2,13.150743
-47.0,1,13.153931
-47.0,1,13.157111
-22.0,9,13.200384
71.0,40,13.349711
-47.0,1,13.352422
-11.0,12,13.404925
-42.0,3,13.413121
26.0,23,13.504032
347.0,114,13.929497
-46.0,1,13.932439
230.0,104,14.35259
-41.0,3,14.360896
-47.0,1,14.363745
100.0,43,14.53972
-39.0,3,14.551943
-18.0,7,14.574836
-41.0,3,14.589615
11.0,15,14.646521
271.0,92,14.986789
-47.0,1,14.989906
423.0,146,15.569305
-8.0,16,15.626986
-13.0,14,15.679458
49.0,33,15.798703
-24.0,6,15.819409
81.0,34,15.957119
-43.0,2,15.963537
-46.0,1,15.976924
-33.0,8,16.003853
91.0,46,16.18905
176.0,59,16.415341
-43.0,2,16.424922
-46.0,1,16.427693
135.0,43,16.671275
-47.0,1,16.680328
-47.0,1,16.684277
-46.0,2,16.692198
-6.0,11,16.756586
-46.0,1,16.766193
-45.0,2,16.773358
24.0,23,16.895932
15.0,14,16.970077
-47.0,1,16.979625
-39.0,3,16.993111
-39.0,4,17.014677
-46.0,1,17.025304
427.0,148,17.820106
357.0,121,18.559396
0.0,11,18.600307
79.0,30,18.724237
-47.0,1,18.727435
505.0,155,19.313855
-47.0,1,19.321235
-46.0,1,19.325098
162.0,57,19.553257
80.0,38,19.699181
-46.0,1,19.702033
-47.0,1,19.705047
158.0,69,19.960221
-36.0,3,19.974616
-42.0,2,19.981634
-46.0,1,19.985052
-47.0,1,19.992188
-46.0,2,20.006064
12.0,19,20.070583
-47.0,1,20.073564
-47.0,1,20.076582
-29.0,5,20.100754
-47.0,1,20.104221
-47.0,1,20.107264
-31.0,9,20.138743
-47.0,1,20.141486
325.0,134,20.664539
-16.0,7,20.691253
-35.0,4,20.701786
-47.0,1,20.709206
-46.0,1,20.716536
-46.0,2,20.725402
267.0,82,21.030519
-47.0,1,21.033594
-46.0,2,21.038856
208.0,57,21.26514
-47.0,1,21.26799
-43.0,2,21.273858
-45.0,3,21.286713
-46.0,1,21.290024
-46.0,2,21.295728
-36.0,3,21.308119
-45.0,2,21.313876
-47.0,1,21.3209
32.0,19,21.388096
-45.0,2,21.397387
-45.0,2,21.402662
-47.0,1,21.405583
-43.0,2,21.415014
-46.0,1,21.417834
1100.0,288,22.549778
38.0,21,22.628371
-47.0,1,22.631425
-42.0,2,22.637932
-40.0,4,22.654672
-46.0,1,22.657661
-6.0,12,22.710248
249.0,91,23.064785
-26.0,9,23.105272
-46.0,1,23.108116
-46.0,2,23.113372
-47.0,1,23.12028
-47.0,1,23.122925
-47.0,1,23.125544
284.0,107,23.533626
-43.0,2,23.548844
-47.0,1,23.551705
-47.0,1,23.554874
-40.0,5,23.572379
-42.0,2,23.581897
-11.0,16,23.640903
33.0,18,23.710353
295.0,93,24.05891
-47.0,1,24.061884
24.0,19,24.135647
-39.0,3,24.148259
-8.0,9,24.176707
-46.0,1,24.183682
-46.0,2,24.190051
58.0,34,24.326112
52.0,25,24.415526
-47.0,1,24.418293
106.0,39,24.582057
2.0,13,24.626858
-47.0,1,24.641027
174.0,57,24.856375
61.0,25,24.954858
-46.0,1,24.957774
241.0,70,25.211341
0.0,33,25.334069
-14.0,8,25.36753
-47.0,1,25.374758
-47.0,1,25.377602
-17.0,11,25.413703
-29.0,6,25.432814
-45.0,2,25.442507
-7.0,14,25.497224
-10.0,9,25.530758
350.0,100,25.925086
-6.0,24,26.022987
819.0,219,26.896933
-1.0,19,26.970994
-44.0,2,26.977561
-46.0,1,26.981005
-33.0,5,27.000341
14.0,15,27.060531
-46.0,2,27.070021
-46.0,1,27.073077
-46.0,1,27.075897
-44.0,2,27.081275
259.0,81,27.384311
-46.0,2,27.389843
-44.0,2,27.395191
40.0,24,27.486468
-44.0,2,27.495916
-39.0,6,27.51638
-46.0,1,27.520157
-47.0,1,27.523303
49.0,27,27.625171
7.0,23,27.722111
-16.0,12,27.775341
52.0,31,27.898488
206.0,85,28.224574
-44.0,2,28.230183
123.0,38,28.382421
-30.0,7,28.405593
-35.0,6,28.425594
118.0,40,28.617389
-47.0,1,28.629063
-44.0,3,28.644778
-46.0,1,28.650404
-28.0,5,28.689281
-46.0,1,28.706165
791.0,183,29.692758
-19.0,8,29.746617
-42.0,3,29.769835
-47.0,1,29.784788
-47.0,1,29.793166
10.0,19,29.898742
-9.0,9,29.940725
-47.0,1,29.958631
598.0,154,30.754699
-27.0,5,30.772548
13.0,17,30.855189
1079.0,272,31.917768
12.0,14,31.982983
39.0,19,32.060942
-46.0,1,32.064239
-46.0,1,32.068228
-16.0,9,32.102593
-46.0,1,32.105693
-46.0,1,32.108867
-45.0,2,32.119344
-40.0,4,32.135599
-44.0,3,32.144437
-42.0,4,32.167232
-30.0,6,32.188873
-38.0,7,32.21713
-47.0,1,32.220111
-46.0,1,32.223194
760.0,180,32.942464
565.0,140,33.499152
-44.0,2,33.504812
-28.0,5,33.523676
-16.0,9,33.55898
87.0,31,33.670859
-34.0,5,33.687968
-47.0,1,33.699237
4.0,16,33.753313
-39.0,5,33.771169
9.0,16,33.832927
36.0,24,33.9312
9.0,15,33.992272
261.0,70,34.254174
28.0,17,34.317384
-20.0,12,34.362148
287.0,79,34.653054
113.0,36,34.784703
-22.0,9,34.813752
-29.0,5,34.839599
-44.0,2,34.850007
22.0,15,34.901913
-46.0,1,34.904765
102.0,32,35.064341
-47.0,1,35.071442
57.0,40,35.218217
-44.0,3,35.227695
80.0,29,35.339161
491.0,141,35.884264
-47.0,1,35.88694
-14.0,9,35.91859
243.0,64,36.17643
213.0,64,36.417921
-29.0,8,36.442687
-36.0,5,36.459488
195.0,56,36.675205
59.0,27,36.777905
139.0,47,36.95644
-39.0,3,36.970877
437.0,108,37.423646
17.0,20,37.497218
-38.0,4,37.514811
-11.0,12,37.560307
-21.0,8,37.585527
737.0,170,38.240169
-44.0,2,38.250986
-43.0,2,38.256228
136.0,38,38.400277
25.0,18,38.468076
-28.0,5,38.485729
57.0,25,38.582597
-9.0,10,38.618147
155.0,50,38.804324
-37.0,6,38.828879
162.0,72,39.10618
290.0,83,39.42359
88.0,34,39.547377
-35.0,5,39.566437
28.0,25,39.660753
30.0,25,39.754726
32.0,21,39.841473
12.0,14,39.894039
63.0,36,40.031076
1658.0,365,41.801897
-47.0,1,41.80594
47.0,25,41.934302
-42.0,3,41.946106
70.0,38,42.175498
1876.0,400,43.876934
17.0,15,43.942669
-11.0,11,43.980825
17.0,24,44.068264
-15.0,13,44.121573
-7.0,15,44.174965
151.0,50,44.366079
123.0,39,44.522559
-36.0,4,44.53712
7.0,15,44.588686
560.0,167,45.207722
208.0,64,45.460619
-14.0,9,45.502506
297.0,77,45.796166
71.0,26,45.890329
693.0,172,46.538562
113.0,42,46.69999
161.0,49,46.871908
111.0,51,47.07056
586.0,146,47.641019
56.0,27,47.737694
-47.0,1,47.740496
477.0,116,48.172009
185.0,56,48.375651
-44.0,2,48.381309
-25.0,9,48.413692
507.0,118,48.868963
15.0,15,48.923779
41.0,22,49.005357
303.0,79,49.29793
-47.0,1,49.300754
424.0,104,49.701314
194.0,73,49.966746
126.0,38,50.112231
118.0,38,50.252936
904.0,214,51.043298
92.0,35,51.175881
402.0,97,51.522339
-41.0,3,51.530051
-46.0,1,51.536788
24.0,19,51.604042
-41.0,3,51.618781
1438.0,310,52.838152
-27.0,6,52.865306
231.0,63,53.201829
3.0,14,53.276421
-42.0,2,53.283996
118.0,36,53.464141
1027.0,233,54.753199
69.0,31,54.879078
271.0,71,55.14731
267.0,76,55.418479
3.0,12,55.470533
66.0,31,55.585338
47.0,23,55.672505
1052.0,238,56.544778
149.0,46,56.714239
264.0,71,57.006586
-47.0,1,57.00942
35.0,19,57.074844
477.0,147,57.603459
1428.0,324,58.937639
910.0,229,59.778102
-44.0,2,59.783674
166.0,51,59.976212
1361.0,301,61.106101
146.0,42,61.268817
52.0,23,61.352026
431.0,110,61.748564
60.0,29,61.861103
-44.0,2,61.870916
63.0,34,61.992046
41.0,23,62.077261
162.0,48,62.27419
477.0,112,62.668293
-47.0,1,62.677515
795.0,210,63.472541
-47.0,1,63.475653
1101.0,279,64.516175
-41.0,3,64.529418
70.0,25,64.629906
1747.0,400,66.774819
10.0,13,66.824182
-2.0,11,66.865678
26.0,17,66.929277
299.0,101,67.303708
69.0,32,67.441769
7.0,23,67.528341
5.0,12,67.575205
84.0,40,67.72814
17.0,18,67.78928
557.0,130,68.275016
-33.0,9,68.307314
-32.0,6,68.328326
371.0,107,68.757654
-44.0,2,68.763154
879.0,227,69.640924
4.0,14,69.697574
98.0,36,69.822581
1379.0,308,70.974589
-44.0,2,70.98098
73.0,38,71.129593
-40.0,4,71.145474
-27.0,8,71.171101
448.0,111,71.591322
-47.0,1,71.59412
-10.0,9,71.625103
