#{"t_start": 1764802352.1675072, "env_id": "None"}
r,l,t
-46.0,1,6.289449
413.0,171,7.435061
8.0,34,7.563394
-31.0,7,7.593658
-47.0,1,7.596876
-46.0,1,7.600085
95.0,64,7.838964
-46.0,1,7.842086
-31.0,7,7.893361
-46.0,2,7.906642
-47.0,1,7.90943
460.0,187,8.622883
-38.0,4,8.650837
-27.0,5,8.669019
-44.0,3,8.677574
8.0,20,8.759959
-46.0,1,8.762829
-47.0,1,8.769947
-2.0,11,8.806758
-20.0,19,8.878392
753.0,263,9.884679
-1.0,10,9.92053
-47.0,1,9.923245
-47.0,1,9.930153
-23.0,17,10.007964
-42.0,4,10.023807
-46.0,2,10.029787
-44.0,2,10.040367
1132.0,344,11.358152
-43.0,2,11.368323
-6.0,11,11.407424
-42.0,5,11.43411
-46.0,1,11.437583
-41.0,2,11.447732
-35.0,6,11.46928
-46.0,1,11.472182
-14.0,8,11.502289
-46.0,1,11.505463
-47.0,1,11.50841
-46.0,1,11.511405
-47.0,1,11.514323
1.0,12,11.568166
-46.0,2,11.573617
-46.0,1,11.576449
-47.0,1,11.583413
-47.0,1,11.586468
-46.0,1,11.589532
817.0,226,12.491425
-46.0,2,12.500929
-46.0,2,12.506098
71.0,33,12.638974
-36.0,4,12.650473
49.0,37,12.796714
-47.0,1,12.799559
-46.0,1,12.802608
-47.0,1,12.805352
116.0,48,13.003814
-47.0,1,13.006697
15.0,16,13.085755
-47.0,1,13.093061
-26.0,11,13.133026
-47.0,1,13.136028
-22.0,16,13.206116
10.0,17,13.268874
-46.0,1,13.271704
-46.0,1,13.274462
-47.0,1,13.277312
-47.0,1,13.285137
-45.0,2,13.296273
-13.0,8,13.321663
-47.0,1,13.3288
-47.0,1,13.331672
-47.0,1,13.334484
-32.0,4,13.348669
-47.0,1,13.351557
-25.0,7,13.374882
-47.0,1,13.38193
-46.0,1,13.389625
91.0,34,13.520922
-44.0,3,13.529468
87.0,30,13.638889
-43.0,3,13.650936
-47.0,1,13.653862
-46.0,2,13.658984
-45.0,2,13.668476
78.0,31,13.780715
-47.0,1,13.783599
-29.0,5,13.808148
-46.0,1,13.810973
-47.0,1,13.817872
296.0,107,14.242893
-39.0,3,14.255806
-41.0,4,14.267657
-46.0,1,14.275388
-46.0,1,14.278198
-46.0,1,14.281375
-47.0,1,14.284492
-17.0,8,14.319116
-46.0,2,14.326665
-47.0,1,14.329712
4.0,12,14.375332
-42.0,2,14.381158
-16.0,11,14.428588
-46.0,1,14.437406
505.0,201,15.199778
451.0,152,15.786192
-46.0,1,15.788852
-45.0,2,15.798122
-45.0,2,15.803612
-45.0,2,15.812979
-46.0,1,15.815867
-47.0,1,15.81863
-2.0,20,15.897673
7.0,16,15.961959
386.0,112,16.409075
7.0,22,16.52317
-47.0,1,16.528221
-46.0,1,16.533134
-46.0,2,16.549653
85.0,50,16.825739
-46.0,2,16.834494
-47.0,1,16.8391
-46.0,1,16.850507
254.0,81,17.306915
91.0,34,17.48602
-46.0,1,17.490054
28.0,18,17.57976
-41.0,3,17.595998
-47.0,1,17.599833
22.0,18,17.694109
226.0,67,18.056281
-46.0,2,18.069325
52.0,22,18.229327
-28.0,6,18.26353
84.0,40,18.511727
-47.0,1,18.516784
-38.0,10,18.567664
-43.0,5,18.586428
121.0,41,18.761235
272.0,92,19.098047
-47.0,1,19.101095
-46.0,1,19.103921
-13.0,19,19.179856
215.0,76,19.487886
-46.0,2,19.497714
195.0,74,19.76945
450.0,150,20.342485
-41.0,3,20.351023
-30.0,7,20.376962
-46.0,2,20.382466
-47.0,1,20.385346
-35.0,6,20.415078
23.0,25,20.522218
-36.0,5,20.541315
-46.0,1,20.548289
-46.0,1,20.551412
-46.0,1,20.554441
-39.0,5,20.572044
-41.0,3,20.583869
-46.0,1,20.586721
-47.0,1,20.589468
-42.0,4,20.603823
372.0,126,21.07475
-47.0,1,21.07771
-46.0,1,21.080532
-45.0,2,21.090652
-46.0,2,21.096621
-47.0,1,21.099554
-41.0,3,21.111996
68.0,29,21.224225
-46.0,2,21.234769
-44.0,3,21.250755
94.0,50,21.434092
136.0,47,21.62221
-42.0,6,21.648318
305.0,103,22.02863
-44.0,3,22.041741
-14.0,12,22.090938
-46.0,1,22.094109
-46.0,1,22.096948
-47.0,1,22.104175
-40.0,4,22.11563
-2.0,12,22.168881
11.0,23,22.248177
-47.0,1,22.256363
-23.0,10,22.29875
-47.0,1,22.301629
-46.0,2,22.307441
-41.0,3,22.320012
-40.0,3,22.328567
-47.0,1,22.335655
-41.0,3,22.343691
-47.0,1,22.34657
-28.0,6,22.377672
145.0,57,22.614379
21.0,17,22.684613
-26.0,15,22.738925
-46.0,2,22.748464
11.0,14,22.805962
-46.0,1,22.808775
-46.0,1,22.811615
-47.0,1,22.814321
-41.0,3,22.826391
688.0,222,23.68499
-47.0,1,23.687848
218.0,86,24.016858
-42.0,5,24.038594
75.0,30,24.149933
89.0,30,24.263776
-44.0,3,24.272639
-44.0,2,24.282407
-44.0,4,24.295098
-47.0,1,24.302003
-14.0,8,24.335927
-20.0,7,24.362761
-46.0,2,24.368219
-39.0,3,24.380377
-46.0,2,24.385645
-39.0,5,24.402898
-1.0,23,24.490535
113.0,44,24.671467
-47.0,1,24.67842
-21.0,9,24.706276
-47.0,1,24.713269
70.0,34,24.837788
-47.0,1,24.852561
-45.0,2,24.858112
44.0,30,24.976915
161.0,74,25.243639
-41.0,4,25.266559
-25.0,7,25.289014
108.0,43,25.444319
182.0,60,25.697028
-46.0,2,25.70247
-46.0,1,25.705324
393.0,122,26.193996
-47.0,1,26.196771
7.0,25,26.289015
-17.0,14,26.344615
-47.0,1,26.347531
41.0,32,26.463444
-21.0,7,26.494574
-47.0,1,26.500762
-47.0,1,26.504099
54.0,42,26.674997
0.0,17,26.746547
58.0,30,26.862211
262.0,115,27.29779
104.0,55,27.500597
-33.0,4,27.515505
214.0,84,27.848064
-36.0,4,27.871704
-23.0,11,27.908792
157.0,53,28.114781
-2.0,13,28.170287
-24.0,15,28.223897
583.0,154,28.978862
-37.0,4,29.012794
49.0,27,29.155379
239.0,69,29.513636
-23.0,8,29.563212
-29.0,6,29.589701
-46.0,1,29.593552
-44.0,2,29.605344
-47.0,1,29.609069
-45.0,2,29.616793
38.0,21,29.733411
-46.0,1,29.745981
-36.0,4,29.786
82.0,30,29.958943
-46.0,1,29.964729
97.0,36,30.168261
-36.0,5,30.197705
-46.0,1,30.201917
-46.0,1,30.207651
-22.0,11,30.276826
525.0,137,30.920907
-46.0,1,30.923831
-33.0,4,30.939684
369.0,119,31.39468
-47.0,1,31.397603
-45.0,2,31.403354
-20.0,8,31.449094
456.0,114,31.894808
200.0,54,32.117864
113.0,44,32.29336
197.0,62,32.537727
38.0,21,32.617245
7.0,12,32.659733
-46.0,1,32.676657
-47.0,1,32.682086
92.0,37,32.818838
-47.0,1,32.821631
107.0,34,32.964229
-28.0,6,32.990423
65.0,28,33.095985
-43.0,4,33.11201
262.0,78,33.428225
73.0,28,33.538534
-42.0,2,33.545068
-46.0,1,33.552138
212.0,70,33.811941
-45.0,2,33.817606
100.0,39,33.977489
70.0,27,34.07318
152.0,43,34.238653
73.0,34,34.363853
-3.0,11,34.402121
37.0,20,34.478523
-46.0,1,34.481591
-32.0,6,34.502426
74.0,36,34.63798
94.0,33,34.756965
-36.0,7,34.780105
-39.0,6,34.80455
100.0,41,34.970732
-34.0,8,35.025148
51.0,24,35.115559
-47.0,1,35.118379
-20.0,7,35.15319
191.0,60,35.380369
10.0,15,35.435918
-39.0,3,35.444429
4.0,14,35.499558
-44.0,2,35.509075
-47.0,1,35.51227
71.0,36,35.667266
-46.0,1,35.67008
37.0,32,35.78897
-47.0,1,35.791777
91.0,50,35.973102
126.0,48,36.159066
33.0,22,36.24551
52.0,22,36.330751
126.0,40,36.479553
362.0,89,36.822054
132.0,39,36.969054
-44.0,2,36.976272
-7.0,13,37.040461
-12.0,10,37.087843
274.0,88,37.437528
-44.0,2,37.447619
-47.0,1,37.451116
507.0,126,37.933261
233.0,78,38.227029
-11.0,9,38.267781
-45.0,2,38.273524
-41.0,6,38.293316
-47.0,1,38.296066
31.0,26,38.399524
61.0,29,38.505627
-19.0,11,38.556441
242.0,80,38.849668
-47.0,1,38.858132
656.0,161,39.465987
22.0,15,39.524895
-46.0,1,39.528257
648.0,150,40.096708
-41.0,6,40.119504
-34.0,5,40.140625
-19.0,12,40.193917
44.0,25,40.287475
-47.0,1,40.290153
-41.0,3,40.307854
501.0,122,40.862388
32.0,17,40.956891
-42.0,2,40.970558
579.0,146,41.756296
195.0,60,42.087613
20.0,22,42.209709
-47.0,1,42.223775
9.0,13,42.306371
222.0,72,42.707525
-17.0,8,42.733779
520.0,120,43.19245
239.0,67,43.461219
-46.0,1,43.46419
-43.0,2,43.469593
1.0,17,43.539628
812.0,186,44.239537
391.0,96,44.605517
249.0,75,44.882361
53.0,30,44.993295
22.0,26,45.088312
-16.0,9,45.120121
-29.0,10,45.163256
310.0,80,45.475049
2.0,13,45.549159
649.0,151,46.099905
28.0,18,46.160639
-20.0,8,46.19553
81.0,27,46.289917
97.0,38,46.430347
-41.0,3,46.443354
82.0,30,46.568209
150.0,49,46.747372
-10.0,15,46.804921
150.0,45,46.967967
183.0,53,47.174099
41.0,20,47.250971
76.0,30,47.364089
-44.0,2,47.369401
286.0,76,47.674346
465.0,109,48.080659
-41.0,3,48.092523
80.0,31,48.198523
8.0,15,48.257063
160.0,43,48.412786
7.0,14,48.468793
-47.0,1,48.471671
22.0,18,48.543912
-40.0,6,48.576493
-41.0,3,48.584553
548.0,139,49.10147
57.0,24,49.191644
289.0,79,49.487879
264.0,75,49.771556
367.0,93,50.116994
-29.0,5,50.134421
-1.0,17,50.194551
265.0,73,50.463514
66.0,31,50.572408
230.0,79,50.874545
93.0,36,51.004745
26.0,21,51.087448
536.0,135,51.579047
-27.0,7,51.60103
57.0,37,51.743231
10.0,17,51.809123
-39.0,3,51.817677
-24.0,9,51.849577
-46.0,1,51.852637
-44.0,2,51.86826
145.0,40,52.010908
622.0,151,52.548807
622.0,169,53.427037
-16.0,8,53.470039
1184.0,270,54.904638
-39.0,4,54.919745
-38.0,4,54.940511
-34.0,10,54.977449
768.0,189,55.677309
50.0,24,55.765772
-33.0,4,55.776562
36.0,25,55.868611
723.0,169,56.493576
76.0,31,56.607941
-47.0,1,56.614964
270.0,80,56.917157
1766.0,400,58.510892
1034.0,222,59.35395
264.0,79,59.640348
118.0,43,59.79761
-44.0,2,59.807678
75.0,28,59.911499
1959.0,400,61.405225
-44.0,2,61.414797
-24.0,13,61.465393
58.0,24,61.551841
-14.0,11,61.587761
-44.0,2,61.597143
476.0,132,62.082026
104.0,37,62.233269
-39.0,5,62.251134
1908.0,400,63.744986
69.0,31,63.858723
122.0,43,64.01505
-29.0,7,64.048785
-17.0,11,64.086317
24.0,18,64.154249
-47.0,1,64.157102
1036.0,254,65.339548
157.0,50,65.592393
362.0,92,66.053751
1186.0,267,67.286336
12.0,16,67.350579
191.0,74,67.645521
146.0,52,67.84407
40.0,29,67.953923
67.0,42,68.1088
-41.0,3,68.120717
357.0,110,68.557597
134.0,52,68.741822
462.0,129,69.226171
237.0,68,69.506231
70.0,40,69.660759
306.0,84,69.975977
2013.0,400,71.459756
-26.0,11,71.495945
462.0,117,71.939999
316.0,86,72.252344
10.0,16,72.310845
11.0,17,72.377857
-47.0,1,72.381293
24.0,18,72.441545
-34.0,7,72.473694
1014.0,232,73.330492
-35.0,5,73.347286
-39.0,5,73.364091
169.0,47,73.54802
178.0,53,73.755868
-38.0,4,73.770194
1220.0,266,74.742172
56.0,35,74.871949
464.0,117,75.308176
211.0,62,75.529778
606.0,138,76.065365
-44.0,2,76.070704
-44.0,2,76.076055
693.0,151,76.62393
28.0,27,76.735843
-24.0,8,76.764378
1387.0,296,78.357568
-9.0,11,78.409059
7.0,12,78.484943
1393.0,297,79.729949
46.0,27,79.824839
-47.0,1,79.827447
199.0,61,80.06427
14.0,15,80.120929
-2.0,13,80.162397
8.0,14,80.21238
-39.0,3,80.231028
163.0,51,80.40945
-44.0,2,80.414961
166.0,45,80.592146
-20.0,7,80.618931
341.0,82,80.931033
167.0,46,81.094598
59.0,24,81.185113
46.0,21,81.262675
495.0,116,81.681827
43.0,23,81.761457
63.0,25,81.854573
805.0,183,82.528886
21.0,16,82.584437
24.0,17,82.645545
221.0,67,82.895231
-46.0,1,82.898315
22.0,15,82.959698
788.0,170,83.61268
-44.0,2,83.621589
40.0,22,83.708264
116.0,44,83.874041
1506.0,326,85.093764
102.0,35,85.215425
616.0,138,85.719548
235.0,71,85.978451
43.0,24,86.0676
1312.0,285,88.316034
70.0,28,88.418395
440.0,101,88.78042
387.0,96,89.299113
232.0,64,89.640614
-38.0,4,89.661275
53.0,28,89.80914
-24.0,16,89.89628
178.0,61,90.223499
52.0,26,90.377137
-44.0,2,90.384918
