#{"t_start": 1764802352.1722317, "env_id": "None"}
r,l,t
-43.0,2,6.294972
-46.0,1,6.301848
11.0,13,6.844056
-47.0,1,6.849288
-44.0,4,6.874296
15.0,20,6.945862
-21.0,17,7.014174
-46.0,1,7.017032
13.0,15,7.074437
-47.0,1,7.077974
-47.0,1,7.084936
-47.0,1,7.087851
-47.0,1,7.090463
-47.0,1,7.093046
-47.0,1,7.095742
-29.0,7,7.121464
-47.0,1,7.124312
-34.0,11,7.160696
-47.0,1,7.163512
-47.0,1,7.178237
-47.0,1,7.181038
-47.0,1,7.183805
-46.0,2,7.189327
-46.0,1,7.196135
23.0,26,7.283817
-47.0,1,7.28655
-30.0,9,7.317349
-37.0,7,7.339897
-45.0,2,7.352759
188.0,78,7.647513
288.0,120,8.146501
-47.0,1,8.149272
-46.0,1,8.15617
1.0,22,8.239031
163.0,86,8.553477
-29.0,5,8.572145
-46.0,1,8.574864
-20.0,7,8.601742
89.0,47,8.790717
-47.0,1,8.79351
-4.0,11,8.840941
148.0,56,9.063852
89.0,55,9.275962
-46.0,2,9.280951
-35.0,8,9.308725
-47.0,1,9.311383
1.0,13,9.363742
556.0,176,10.039952
2.0,13,10.09288
-47.0,1,10.099936
-24.0,7,10.125622
-29.0,6,10.146208
1.0,13,10.201652
-47.0,1,10.204406
-6.0,14,10.252337
-39.0,8,10.283856
-12.0,8,10.311842
-47.0,1,10.31442
57.0,26,10.410322
-46.0,1,10.417168
-47.0,1,10.41999
-47.0,1,10.422996
-47.0,1,10.425625
-46.0,1,10.428369
-47.0,1,10.435202
-34.0,9,10.461293
-47.0,1,10.468007
-47.0,1,10.470758
-47.0,1,10.473321
-46.0,2,10.478371
-46.0,2,10.498208
-47.0,1,10.500954
-45.0,3,10.512936
-46.0,1,10.516229
-26.0,10,10.550952
-37.0,3,10.558713
599.0,166,11.201919
-46.0,1,11.205199
-36.0,8,11.239502
10.0,26,11.343751
-39.0,5,11.36173
41.0,20,11.444282
-47.0,1,11.447249
2.0,14,11.498847
-26.0,8,11.533374
-47.0,1,11.536392
-40.0,3,11.549716
-46.0,1,11.55249
15.0,22,11.642487
61.0,43,11.807434
-47.0,1,11.810318
24.0,18,11.885025
-37.0,4,11.901168
-46.0,2,11.906487
-12.0,14,11.966335
68.0,39,12.132351
-46.0,1,12.141011
-45.0,2,12.147604
-46.0,1,12.154735
-46.0,2,12.160409
37.0,19,12.23059
-47.0,1,12.233366
284.0,84,12.560325
-27.0,6,12.582384
-44.0,2,12.587806
-43.0,4,12.603717
917.0,267,13.661856
-46.0,1,13.664931
52.0,28,13.76467
-40.0,3,13.777039
439.0,140,14.338738
19.0,25,14.44002
2.0,11,14.47813
-47.0,1,14.481312
-30.0,5,14.499543
-47.0,1,14.506636
-47.0,1,14.509523
-47.0,1,14.512366
-5.0,22,14.597876
-47.0,1,14.604682
-46.0,1,14.607265
187.0,88,14.927886
-47.0,1,14.941359
531.0,179,15.635679
191.0,85,15.961972
-31.0,4,15.984221
-47.0,1,15.987344
-41.0,3,15.999337
-46.0,2,16.004894
-27.0,10,16.038883
-3.0,15,16.099645
-46.0,1,16.106678
-32.0,6,16.127626
24.0,19,16.212678
10.0,16,16.26947
50.0,24,16.364639
-46.0,1,16.367412
-38.0,8,16.39848
-46.0,2,16.408236
233.0,88,16.885375
4.0,31,17.063871
-46.0,2,17.071681
-46.0,1,17.076189
-47.0,1,17.081044
-47.0,1,17.090643
37.0,22,17.206726
-42.0,6,17.247132
-10.0,11,17.315068
-35.0,5,17.340508
-47.0,1,17.356096
-47.0,1,17.360149
-45.0,2,17.367925
-27.0,9,17.410058
-47.0,1,17.414034
-46.0,1,17.417881
-47.0,1,17.426903
-27.0,5,17.457856
-47.0,1,17.463135
-35.0,5,17.48714
-46.0,1,17.49096
-14.0,16,17.572653
75.0,28,17.714037
85.0,29,17.877524
138.0,45,18.148165
-47.0,1,18.153769
-29.0,8,18.201075
-47.0,1,18.21264
-46.0,1,18.221489
152.0,56,18.557918
-46.0,1,18.561023
-21.0,7,18.589946
8.0,15,18.653798
-38.0,3,18.66383
561.0,187,19.39682
-16.0,11,19.434519
-46.0,1,19.437371
47.0,24,19.528977
94.0,44,19.69466
6.0,17,19.752862
-46.0,2,19.758675
-46.0,2,19.768652
-47.0,1,19.771485
-46.0,1,19.774515
-28.0,11,19.817784
-46.0,1,19.824626
-39.0,3,19.832072
