#{"t_start": 1764802352.1691928, "env_id": "None"}
r,l,t
-46.0,1,6.28876
-30.0,5,6.79864
284.0,135,7.316966
100.0,43,7.472352
-23.0,6,7.499773
-42.0,6,7.525292
-47.0,1,7.528373
-29.0,12,7.570858
-46.0,2,7.580603
-47.0,1,7.588292
-47.0,1,7.59256
266.0,89,7.950242
-46.0,1,7.953058
-47.0,1,7.956322
-41.0,3,7.96949
-47.0,1,7.972663
-32.0,7,7.997137
-44.0,3,8.017874
0.0,17,8.073634
-46.0,2,8.083556
-46.0,1,8.086324
-33.0,5,8.125779
-46.0,1,8.129849
7.0,13,8.178931
78.0,45,8.350912
501.0,155,8.954951
-47.0,1,8.957668
58.0,34,9.084865
-36.0,6,9.105723
-46.0,1,9.108555
-46.0,1,9.111391
-46.0,2,9.121054
-39.0,3,9.12936
-45.0,2,9.139364
-31.0,10,9.1798
-46.0,1,9.182513
-47.0,1,9.185508
-46.0,1,9.189492
-46.0,2,9.199303
-47.0,1,9.202176
-44.0,3,9.214352
-46.0,1,9.217118
-47.0,1,9.219933
325.0,95,9.581839
-47.0,1,9.584985
61.0,32,9.705818
-47.0,1,9.708572
-44.0,2,9.713862
-47.0,1,9.716532
228.0,89,10.066075
-4.0,10,10.111371
-41.0,3,10.124124
-46.0,1,10.127577
-46.0,2,10.133931
-12.0,9,10.165429
-47.0,1,10.169101
-41.0,3,10.187969
86.0,47,10.354392
-42.0,2,10.36398
347.0,101,10.745486
-44.0,3,10.757638
-40.0,3,10.76527
-35.0,4,10.779211
2.0,17,10.843812
-46.0,1,10.850968
-32.0,8,10.877343
270.0,87,11.230001
-47.0,1,11.232918
-42.0,2,11.238606
-47.0,1,11.241647
-47.0,1,11.248931
-17.0,10,11.286255
159.0,54,11.493702
45.0,21,11.582327
-42.0,2,11.588421
-46.0,1,11.59145
56.0,42,11.762554
-47.0,1,11.76549
-42.0,2,11.771435
-46.0,2,11.781681
-47.0,1,11.785015
-46.0,1,11.788356
-47.0,1,11.791537
-44.0,2,11.801159
-46.0,1,11.804361
0.0,23,11.893196
-47.0,1,11.900432
-46.0,1,11.903301
-25.0,6,11.924144
-47.0,1,11.927309
16.0,21,12.02133
-33.0,7,12.06219
-9.0,9,12.09415
-45.0,2,12.099806
-45.0,2,12.105971
-40.0,4,12.121281
-47.0,1,12.124084
-47.0,1,12.131197
-46.0,1,12.134415
-46.0,1,12.142046
-46.0,2,12.149664
-44.0,2,12.159915
4.0,15,12.215906
92.0,66,12.470041
-14.0,11,12.507387
-47.0,1,12.5102
-42.0,2,12.520391
-47.0,1,12.523385
-46.0,1,12.526301
-46.0,1,12.529408
-45.0,2,12.538904
-38.0,3,12.547013
-46.0,2,12.562518
-47.0,1,12.565631
-47.0,1,12.56879
-42.0,2,12.578867
-47.0,1,12.58169
-47.0,1,12.584485
131.0,44,12.752652
-42.0,2,12.762537
-46.0,2,12.774739
-41.0,4,12.785351
-40.0,3,12.79845
-44.0,4,12.813578
20.0,19,12.897576
-47.0,1,12.900768
-45.0,2,12.90628
92.0,41,13.084645
5.0,13,13.135035
-47.0,1,13.137927
-45.0,3,13.151077
-47.0,1,13.15432
-47.0,1,13.15749
-45.0,2,13.168071
-46.0,2,13.181383
-45.0,2,13.1872
-45.0,2,13.197381
475.0,170,13.836264
-30.0,11,13.873697
-37.0,6,13.895186
-47.0,1,13.903441
10.0,15,13.959216
-46.0,2,13.970137
-46.0,1,13.974215
-44.0,2,13.98101
-46.0,1,13.989453
-44.0,3,13.99896
-46.0,2,14.015766
-46.0,2,14.021735
-46.0,1,14.024675
-45.0,2,14.034266
-46.0,1,14.037227
66.0,34,14.176214
-44.0,2,14.1819
-46.0,2,14.187517
350.0,119,14.655129
-47.0,1,14.6581
-46.0,1,14.665126
281.0,80,14.960681
-45.0,2,14.966656
-47.0,1,14.969981
-18.0,7,15.00015
32.0,19,15.068888
-47.0,1,15.075745
-46.0,2,15.080865
-45.0,2,15.086182
194.0,66,15.341342
167.0,62,15.599162
-47.0,1,15.601911
-46.0,1,15.604551
-14.0,8,15.632771
171.0,71,15.899433
-46.0,1,15.902595
-14.0,9,15.940639
-46.0,2,15.951978
-42.0,2,15.957403
-44.0,2,15.963929
-36.0,3,15.983233
-47.0,1,15.986274
-47.0,1,15.989516
-12.0,17,16.051103
-46.0,1,16.053955
-47.0,1,16.056839
-47.0,1,16.059665
-45.0,3,16.078251
28.0,35,16.220584
-46.0,2,16.226424
-46.0,1,16.233881
-42.0,2,16.239845
1.0,11,16.27723
-46.0,1,16.283146
-46.0,1,16.29507
-47.0,1,16.298219
-46.0,2,16.303975
16.0,17,16.36672
-35.0,8,16.398063
673.0,228,17.63805
346.0,100,18.222318
-47.0,1,18.229197
-30.0,6,18.262878
124.0,46,18.546496
152.0,68,18.817458
-42.0,4,18.831847
-17.0,9,18.870688
59.0,26,18.965
-47.0,1,18.968292
-6.0,12,19.008816
-34.0,8,19.037499
-46.0,2,19.042983
-47.0,1,19.049987
-14.0,8,19.081862
5.0,13,19.131639
-42.0,6,19.151294
-22.0,8,19.188517
-47.0,1,19.19139
-46.0,1,19.194289
-29.0,9,19.227847
-17.0,8,19.255224
-46.0,1,19.266219
-22.0,6,19.289266
-43.0,2,19.294512
-42.0,5,19.311387
-47.0,1,19.314247
-44.0,2,19.325442
-47.0,1,19.328514
-44.0,2,19.334388
509.0,146,19.903441
122.0,43,20.061493
-47.0,1,20.06426
-47.0,1,20.071056
-47.0,1,20.073974
-46.0,1,20.076978
-35.0,6,20.104581
-47.0,1,20.107651
-44.0,4,20.122382
-46.0,2,20.131713
-2.0,10,20.166427
-41.0,4,20.177633
-47.0,1,20.184549
-47.0,1,20.187431
-42.0,2,20.192925
-42.0,2,20.209094
-25.0,11,20.249881
478.0,162,20.868752
-46.0,1,20.871831
-47.0,1,20.878641
-47.0,1,20.881493
-41.0,3,20.889645
-44.0,4,20.904173
-41.0,3,20.916296
-47.0,1,20.923725
-46.0,1,20.930297
-46.0,1,20.93384
34.0,35,21.061221
9.0,17,21.129701
-41.0,3,21.140222
-45.0,2,21.150098
-47.0,1,21.153121
-25.0,7,21.177722
-47.0,1,21.18476
348.0,99,21.57403
-23.0,16,21.630085
-40.0,3,21.638533
-47.0,1,21.647259
-44.0,2,21.656924
-47.0,1,21.659753
-47.0,1,21.662658
-42.0,2,21.671959
-41.0,7,21.693599
-35.0,6,21.713319
-47.0,1,21.716032
-47.0,1,21.722748
-46.0,1,21.725525
-47.0,1,21.728265
-47.0,1,21.731847
-42.0,2,21.741268
-46.0,1,21.749999
-41.0,3,21.758808
9.0,16,21.816788
144.0,49,21.996458
-32.0,6,22.021274
-21.0,7,22.046184
32.0,22,22.132401
47.0,31,22.255347
-46.0,2,22.26759
-47.0,1,22.270843
35.0,22,22.352444
-44.0,3,22.364873
-13.0,13,22.413808
-6.0,13,22.457825
-47.0,1,22.470211
-46.0,1,22.473807
-47.0,1,22.478137
-33.0,4,22.502316
-47.0,1,22.507632
95.0,31,22.635161
-47.0,1,22.638309
-47.0,1,22.645371
-46.0,1,22.64863
-47.0,1,22.65216
204.0,72,22.932956
52.0,24,23.032671
166.0,58,23.256129
-38.0,4,23.272301
-33.0,5,23.295532
-47.0,1,23.298713
-46.0,1,23.301601
-4.0,15,23.353775
96.0,37,23.485057
