#{"t_start": 1764802352.165656, "env_id": "None"}
r,l,t
-47.0,1,6.290307
-47.0,1,6.297584
21.0,26,6.904326
-47.0,1,6.907355
-6.0,14,6.957035
546.0,199,7.708741
-46.0,2,7.714309
-47.0,1,7.717137
-47.0,1,7.724047
-47.0,1,7.726892
9.0,25,7.818455
-40.0,3,7.826127
-34.0,9,7.874037
-47.0,1,7.878566
203.0,104,8.30007
-46.0,2,8.309623
-47.0,1,8.312307
-13.0,10,8.353694
-19.0,11,8.389867
-46.0,1,8.392578
0.0,14,8.448223
157.0,51,8.630973
-46.0,1,8.641448
120.0,64,8.887867
-47.0,1,8.89074
-36.0,8,8.933796
-46.0,2,8.939859
55.0,36,9.084399
-47.0,1,9.08758
-47.0,1,9.090935
-31.0,11,9.129472
738.0,249,10.092725
-44.0,2,10.098065
-45.0,2,10.108418
-46.0,1,10.111694
122.0,39,10.257628
-47.0,1,10.260696
-47.0,1,10.263506
-47.0,1,10.266359
0.0,20,10.339732
-44.0,3,10.351875
-46.0,1,10.354522
-26.0,5,10.372404
-46.0,1,10.375139
-33.0,9,10.41332
-37.0,4,10.428297
335.0,108,10.835164
231.0,75,11.134118
-43.0,5,11.151877
-47.0,1,11.154772
-30.0,5,11.172498
435.0,142,11.736292
-41.0,4,11.753231
-41.0,3,11.76536
-38.0,8,11.794261
59.0,33,11.924253
292.0,119,12.411127
9.0,15,12.467986
-45.0,2,12.472909
-47.0,1,12.476053
-46.0,1,12.478699
-45.0,2,12.48785
35.0,29,12.600172
-45.0,2,12.606235
-42.0,2,12.611949
-46.0,1,12.621945
-46.0,1,12.625554
-19.0,9,12.665189
-46.0,1,12.668407
-41.0,3,12.676454
-47.0,1,12.683376
216.0,56,12.903519
-47.0,1,12.906562
-45.0,2,12.912507
0.0,11,12.955343
-46.0,1,12.958862
-24.0,7,12.990261
-18.0,10,13.027237
-23.0,11,13.087138
-42.0,3,13.10029
-42.0,2,13.106131
-47.0,1,13.113554
-45.0,2,13.119215
518.0,188,13.836254
-47.0,1,13.839065
-42.0,2,13.844779
-39.0,3,13.857223
38.0,19,13.932856
-36.0,8,13.959473
-15.0,9,13.998601
-46.0,1,14.001749
146.0,44,14.184672
-46.0,2,14.190365
-44.0,2,14.200038
-46.0,1,14.202799
-46.0,2,14.208942
-38.0,8,14.244358
-46.0,1,14.247641
-32.0,5,14.265986
-45.0,2,14.276749
-43.0,2,14.282773
-47.0,1,14.285887
20.0,24,14.379897
31.0,27,14.486404
-46.0,1,14.493798
-47.0,1,14.496554
-47.0,1,14.499541
-23.0,16,14.563724
-44.0,4,14.57838
-47.0,1,14.581383
-47.0,1,14.584089
48.0,35,14.712624
-47.0,1,14.720529
2.0,16,14.782757
-47.0,1,14.785445
-47.0,1,14.788624
-47.0,1,14.791384
-44.0,4,14.805697
938.0,285,15.902232
-47.0,1,15.905334
-46.0,1,15.912683
-46.0,2,15.91889
-47.0,1,15.922336
-47.0,1,15.925868
63.0,25,16.027475
-23.0,13,16.078702
-44.0,2,16.087324
-47.0,1,16.094219
296.0,103,16.529379
-20.0,8,16.581928
-47.0,1,16.586168
-38.0,5,16.619381
-47.0,1,16.62342
-46.0,2,16.636064
-46.0,1,16.639776
-36.0,3,16.650411
-28.0,9,16.695216
-47.0,1,16.700962
-46.0,1,16.717651
-47.0,1,16.722469
-46.0,1,16.726745
27.0,19,16.82696
