#{"t_start": 1764790684.3300512, "env_id": "None"}
r,l,t
-47.0,1,7.035322
-47.0,1,7.039915
23.0,19,7.124954
-36.0,4,7.137566
-44.0,2,7.143687
-46.0,2,7.149709
-39.0,4,7.16189
-43.0,5,7.181658
-7.0,12,7.236707
-46.0,2,7.242727
5.0,13,7.278915
-47.0,1,7.282321
-47.0,1,7.285414
-42.0,5,7.299346
-32.0,6,7.323199
-40.0,4,7.33545
-46.0,2,7.341666
-47.0,1,7.344776
-46.0,2,7.350652
-47.0,1,7.353698
-47.0,1,7.35708
-46.0,1,7.360041
-33.0,11,7.390193
-46.0,1,7.39306
-47.0,1,7.396045
-46.0,2,7.401248
-46.0,2,7.406813
-31.0,6,7.429142
-31.0,8,7.449329
-45.0,2,7.454939
-45.0,2,7.461459
55.0,29,7.550994
-44.0,2,7.556601
349.0,193,8.100063
-47.0,1,8.1029
-43.0,5,8.115762
-35.0,4,8.1258
-47.0,1,8.128548
-46.0,1,8.131319
-46.0,1,8.134056
-27.0,6,8.158497
-28.0,17,8.199965
148.0,57,8.372608
-47.0,1,8.375525
4.0,14,8.410567
-47.0,1,8.413293
715.0,327,9.336251
37.0,37,9.439058
-42.0,4,9.44865
518.0,228,10.064287
10.0,19,10.126
-43.0,4,10.139066
-46.0,1,10.143131
-47.0,1,10.147059
-47.0,1,10.14989
-47.0,1,10.152825
-45.0,2,10.15895
-40.0,3,10.167853
-47.0,1,10.171025
43.0,28,10.251707
-36.0,4,10.26227
248.0,110,10.588757
-47.0,1,10.591484
-31.0,10,10.621908
-47.0,1,10.626491
179.0,60,10.783787
-46.0,1,10.786426
4.0,16,10.836884
-45.0,2,10.842328
-35.0,5,10.856939
-44.0,2,10.862499
-47.0,1,10.865359
-46.0,1,10.86803
-47.0,1,10.870877
-46.0,2,10.876069
-47.0,1,10.878669
13.0,16,10.921254
-42.0,2,10.932614
-46.0,1,10.936788
24.0,22,11.000551
-43.0,2,11.0059
-47.0,1,11.008839
-47.0,1,11.011662
-47.0,1,11.014395
-41.0,3,11.022326
-40.0,4,11.038888
-46.0,2,11.044446
-47.0,1,11.047245
-44.0,2,11.052545
-46.0,2,11.058191
-44.0,3,11.065961
-25.0,10,11.093791
-46.0,1,11.096925
-47.0,1,11.09972
-47.0,1,11.102492
254.0,113,11.425803
-47.0,1,11.428712
648.0,246,12.152535
-45.0,2,12.158438
-47.0,1,12.161285
-47.0,1,12.164111
-32.0,8,12.195295
-47.0,1,12.198342
35.0,24,12.264479
-24.0,10,12.298887
64.0,56,12.462025
-46.0,1,12.465143
7.0,14,12.507493
-43.0,2,12.512882
-46.0,2,12.518191
-47.0,1,12.521006
-29.0,14,12.558612
-38.0,4,12.568697
-42.0,2,12.573894
-15.0,19,12.628064
-26.0,6,12.64525
-47.0,1,12.648277
-47.0,1,12.651069
-40.0,6,12.666803
-36.0,4,12.677306
-46.0,2,12.682482
-47.0,1,12.685336
-47.0,1,12.688095
-47.0,1,12.694241
-37.0,10,12.724302
-46.0,1,12.727154
-46.0,1,12.729973
-45.0,3,12.738349
53.0,28,12.819855
-47.0,1,12.824901
-15.0,11,12.854671
-44.0,2,12.860218
-46.0,1,12.863502
53.0,21,12.924546
-41.0,2,12.929734
-29.0,9,12.951875
-42.0,2,12.956964
57.0,26,15.801473
14.0,18,15.896422
-47.0,1,15.902591
-43.0,5,15.938179
-46.0,1,15.943898
-47.0,1,15.95046
-47.0,1,15.957142
-42.0,2,15.968913
-46.0,2,15.979339
-46.0,1,15.984802
-47.0,1,15.990276
-47.0,1,15.995893
-46.0,1,16.001033
-42.0,2,16.01204
-46.0,2,16.028021
-47.0,1,16.035754
-42.0,2,16.047482
-47.0,1,16.052033
-47.0,1,16.056272
-45.0,2,16.061882
-47.0,1,16.064773
7.0,22,16.1257
-9.0,10,16.165795
-46.0,1,16.168808
-5.0,12,16.20278
-47.0,1,16.206022
-47.0,1,16.209203
417.0,112,16.55966
-47.0,1,16.562921
-40.0,7,16.584262
-47.0,1,16.588477
-41.0,3,16.598771
-33.0,7,16.619379
-47.0,1,16.622774
-40.0,5,16.638767
-47.0,1,16.642404
460.0,134,17.059608
-47.0,1,17.062468
-20.0,18,17.117775
-44.0,2,17.123795
157.0,72,17.315941
-47.0,1,17.318623
-44.0,2,17.323771
-39.0,5,17.337373
-47.0,1,17.340133
-47.0,1,17.342827
-47.0,1,17.345502
-47.0,1,17.348246
-25.0,6,17.363579
-46.0,1,17.366243
-46.0,2,17.372252
95.0,75,17.57442
-47.0,1,17.577568
-47.0,1,17.584802
-47.0,1,17.590096
-47.0,1,17.594573
-47.0,1,17.597572
-47.0,1,17.600585
332.0,143,18.035339
-42.0,2,18.040682
