#{"t_start": 1764790684.3290017, "env_id": "None"}
r,l,t
53.0,45,7.22043
-46.0,2,7.227328
-46.0,1,7.230708
-47.0,1,7.234281
-47.0,1,7.237351
-47.0,1,7.240627
-8.0,11,7.271456
34.0,20,7.335984
-47.0,1,7.339256
-46.0,1,7.342205
-47.0,1,7.345402
-46.0,1,7.348712
95.0,37,7.455504
-47.0,1,7.458848
-47.0,1,7.46206
-47.0,1,7.465338
-47.0,1,7.468797
-41.0,3,7.47804
434.0,194,8.022486
-46.0,2,8.028331
-46.0,1,8.031299
-47.0,1,8.034176
-44.0,2,8.043144
-47.0,1,8.049459
-38.0,5,8.063471
-47.0,1,8.066431
-47.0,1,8.069607
883.0,268,8.825949
-47.0,1,8.828907
812.0,360,9.813841
-2.0,14,9.849145
-32.0,7,9.867559
-31.0,7,9.885473
-46.0,1,9.888353
-47.0,1,9.890871
15.0,30,9.975524
-43.0,2,9.980892
-46.0,1,9.98363
-44.0,2,9.98889
-47.0,1,9.991947
-41.0,3,10.007659
-46.0,2,10.014801
-47.0,1,10.018078
-37.0,9,10.04649
-46.0,1,10.049543
-47.0,1,10.052753
100.0,54,10.223869
-47.0,1,10.226598
-6.0,21,10.281868
-46.0,2,10.287571
-25.0,8,10.328566
-47.0,1,10.333758
-47.0,1,10.338813
-26.0,6,10.356027
48.0,32,10.443119
-47.0,1,10.445837
-29.0,7,10.463278
-32.0,4,10.473227
-47.0,1,10.476034
-46.0,2,10.481268
743.0,317,11.387364
-47.0,1,11.390002
-47.0,1,11.392901
-31.0,11,11.423511
-42.0,5,11.438027
-42.0,2,11.44369
-46.0,1,11.44644
-41.0,3,11.461217
-14.0,19,11.513103
-46.0,1,11.516447
-47.0,1,11.519541
-47.0,1,11.522649
118.0,43,11.649458
-47.0,1,11.652369
-22.0,14,11.694791
-47.0,1,11.697562
-42.0,2,11.702646
-46.0,1,11.705301
-46.0,2,11.710306
-45.0,2,11.715314
74.0,43,11.831097
-47.0,1,11.834552
-47.0,1,11.838241
157.0,85,12.101957
-46.0,2,12.107333
-46.0,1,12.110053
5.0,12,12.142001
-47.0,1,12.144735
-47.0,1,12.147481
-46.0,1,12.150221
-47.0,1,12.15319
-46.0,2,12.159009
-31.0,4,12.170266
940.0,315,15.896633
-47.0,1,15.902677
-26.0,5,15.938112
-47.0,1,15.944063
-46.0,1,15.950633
-47.0,1,15.957347
229.0,88,16.277085
-47.0,1,16.280014
201.0,94,16.572292
-44.0,2,16.578594
-46.0,1,16.581811
-20.0,14,16.627057
-46.0,2,16.633207
-44.0,2,16.639394
-47.0,1,16.642999
-47.0,1,16.647089
-46.0,1,16.650591
-47.0,1,16.659118
-47.0,1,16.668264
-47.0,1,16.674649
-46.0,1,16.681478
57.0,37,16.800712
-12.0,13,16.835497
-32.0,4,16.846537
-47.0,1,16.84946
-46.0,1,16.852
-47.0,1,16.854965
-45.0,2,16.863612
-18.0,8,16.888963
542.0,174,17.369768
-46.0,1,17.372834
107.0,38,17.47587
-46.0,2,17.486676
-47.0,1,17.490139
3.0,19,17.537295
-47.0,1,17.539973
-47.0,1,17.54299
13.0,13,17.575021
-47.0,1,17.578204
-46.0,1,17.585092
-15.0,11,17.620435
-46.0,1,17.623371
-46.0,2,17.629233
-46.0,2,17.635114
204.0,81,17.872065
-41.0,3,17.8807
-47.0,1,17.883265
-47.0,1,17.886059
-47.0,1,17.892044
-47.0,1,17.89882
-25.0,6,17.920314
-46.0,2,17.926462
-47.0,1,17.92945
-42.0,2,17.935202
-47.0,1,17.937997
-47.0,1,17.940882
-46.0,1,17.943805
-47.0,1,17.946753
-47.0,1,17.94969
-47.0,1,17.952675
-43.0,5,17.965747
-46.0,2,17.971262
-42.0,2,17.976616
-47.0,1,17.979356
-34.0,5,17.995942
48.0,31,18.088218
-41.0,3,18.102227
205.0,71,18.335417
59.0,26,18.40491
-47.0,1,18.411628
-47.0,1,18.417269
-47.0,1,18.420127
-26.0,7,18.438221
167.0,102,18.717819
-47.0,1,18.72442
-44.0,2,18.730043
-47.0,1,18.732904
47.0,21,18.803674
-46.0,2,18.809073
-47.0,1,18.811963
564.0,194,19.361938
10.0,26,19.436723
165.0,92,19.696331
-47.0,1,19.698967
-11.0,10,19.724967
-22.0,8,19.746083
-47.0,1,19.751837
-47.0,1,19.758451
168.0,70,19.976218
-47.0,1,19.979352
-44.0,2,19.984962
-45.0,2,19.990507
-46.0,1,19.993361
119.0,60,20.181496
-47.0,1,20.184741
266.0,85,20.450152
-46.0,1,20.452977
402.0,149,20.915102
-45.0,2,20.920645
-42.0,2,20.926825
-47.0,1,20.929565
-47.0,1,20.932563
-42.0,3,20.940778
-47.0,1,20.943676
-44.0,4,20.954599
84.0,40,21.067746
-43.0,5,21.080372
-44.0,2,21.085435
-47.0,1,21.088308
-45.0,3,21.101553
-37.0,5,21.116081
-47.0,1,21.118809
57.0,26,21.184955
-46.0,2,21.19063
-46.0,1,21.19346
-45.0,3,21.206464
-47.0,1,21.209102
654.0,211,21.781856
-46.0,2,21.787371
12.0,19,21.846135
-46.0,2,21.854552
43.0,23,23.402886
-46.0,1,23.406246
44.0,52,23.568609
-45.0,2,23.576095
233.0,104,23.884778
-47.0,1,23.888035
-46.0,2,23.893902
-46.0,2,23.899685
-37.0,6,23.917279
470.0,153,24.391248
-1.0,12,24.433605
-35.0,6,24.451002
-36.0,7,24.470821
-47.0,1,24.473922
-15.0,10,24.508102
-33.0,10,24.536819
-47.0,1,24.539754
-45.0,2,24.545637
-46.0,1,24.548793
209.0,75,24.765467
-24.0,8,24.784951
-33.0,6,24.80465
-46.0,1,24.809512
-23.0,7,24.828506
-21.0,9,24.852653
-7.0,16,24.896344
-30.0,5,24.91626
-47.0,1,24.919282
937.0,256,25.644772
35.0,21,25.700546
464.0,140,26.164318
-27.0,14,26.229015
-46.0,1,26.232943
-47.0,1,26.237881
-41.0,3,26.252933
-47.0,1,26.258578
-47.0,1,26.265818
115.0,58,26.523575
197.0,71,26.825122
56.0,26,26.938311
-44.0,3,26.949277
-13.0,13,26.998873
-46.0,1,27.00292
-46.0,2,27.018815
-24.0,12,27.069497
-31.0,7,27.104062
-35.0,4,27.1312
323.0,128,27.686686
-38.0,5,27.708205
-46.0,1,27.71292
156.0,64,27.97871
-47.0,1,27.984797
-47.0,1,27.989142
-47.0,1,27.992673
-38.0,7,28.0205
-47.0,1,28.024602
-47.0,1,28.028938
-40.0,3,28.04041
-46.0,1,28.044551
548.0,224,29.073958
-46.0,1,29.079245
-44.0,2,29.089283
-45.0,2,29.098687
-22.0,8,29.134982
-46.0,1,29.140085
387.0,133,29.566422
-47.0,1,29.569248
-42.0,2,29.574564
689.0,199,30.151742
-47.0,1,30.155437
-21.0,7,30.174556
-46.0,1,30.177662
-13.0,16,30.226421
-37.0,9,30.252371
-47.0,1,30.257605
-36.0,6,30.28513
-46.0,1,30.28841
443.0,164,32.191833
-46.0,1,32.195441
-47.0,1,32.198467
-40.0,3,32.206821
-47.0,1,32.209883
-47.0,1,32.212772
232.0,76,32.443113
-45.0,2,32.448538
-30.0,5,32.462506
-47.0,1,32.470401
63.0,44,32.599215
-45.0,3,32.606806
-18.0,11,32.633486
-19.0,12,32.666469
-37.0,5,32.686013
73.0,52,32.840612
-47.0,1,32.843903
-47.0,1,32.847198
-47.0,1,32.851247
-47.0,1,32.855125
-12.0,10,32.889095
-46.0,2,32.89496
232.0,65,33.06742
-47.0,1,33.069944
-47.0,1,33.072525
-47.0,1,33.075305
-31.0,5,33.095695
-47.0,1,33.098461
-46.0,1,33.100995
-35.0,5,33.114494
-44.0,2,33.120533
-41.0,2,33.126315
-46.0,2,33.131836
168.0,84,33.368672
-28.0,14,33.426819
-47.0,1,33.429772
-42.0,3,33.438079
-35.0,4,33.449057
159.0,61,33.629037
-47.0,1,33.631745
-40.0,5,33.644082
-27.0,7,33.662168
-3.0,15,33.702562
-46.0,1,33.709938
-15.0,21,33.768072
230.0,98,34.039777
-46.0,1,34.042666
-10.0,12,34.075132
-46.0,1,34.077899
-42.0,4,34.087939
-36.0,4,34.098339
-44.0,2,34.103887
-47.0,1,34.106722
-46.0,2,34.112302
-47.0,1,34.118105
-47.0,1,34.12351
-39.0,3,34.132081
-46.0,2,34.137569
-46.0,1,34.140337
-44.0,2,34.145589
-44.0,2,34.151044
-29.0,6,34.168065
-47.0,1,34.171256
-46.0,2,34.177192
-46.0,2,34.183221
-44.0,2,34.188922
251.0,97,34.479444
-47.0,1,34.48364
-19.0,7,34.503521
-47.0,1,34.506493
-44.0,3,34.514302
-43.0,5,34.527689
-42.0,2,34.539791
-47.0,1,34.542476
-46.0,1,34.545613
-47.0,1,34.548751
49.0,31,34.62693
-9.0,10,34.658313
368.0,120,34.999179
344.0,165,35.476094
52.0,23,35.536063
-46.0,1,35.538914
179.0,77,35.761479
-47.0,1,35.764489
-45.0,3,35.779419
-46.0,1,35.782298
-45.0,2,35.787869
-45.0,2,35.794261
-46.0,1,35.797308
-46.0,2,35.803041
-47.0,1,35.806001
-24.0,11,35.835422
149.0,49,35.980453
-38.0,4,35.996426
-47.0,1,35.999204
-46.0,1,36.002136
-46.0,1,36.004818
-47.0,1,36.007642
-46.0,2,36.013671
-44.0,2,36.019635
-44.0,3,36.02825
-47.0,1,36.031023
-47.0,1,36.033715
-46.0,2,36.039514
-46.0,2,36.045652
-47.0,1,36.048506
-47.0,1,36.051421
29.0,24,36.121807
-43.0,2,36.127286
-47.0,1,36.129996
-47.0,1,36.132703
-12.0,14,36.172331
-47.0,1,36.174942
-47.0,1,36.177679
-43.0,5,36.198764
-46.0,1,36.201602
517.0,181,36.720178
-41.0,5,36.733655
-46.0,2,36.739391
-22.0,8,36.761988
-47.0,1,36.764922
-44.0,3,36.773622
-47.0,1,36.776609
-47.0,1,36.779554
-30.0,7,36.79939
-23.0,9,36.836707
-47.0,1,36.840242
520.0,162,37.284352
