#{"t_start": 1764790684.3317654, "env_id": "None"}
r,l,t
-45.0,3,7.044244
-43.0,3,7.054278
-46.0,1,7.057606
-47.0,1,7.060817
-47.0,1,7.064502
184.0,79,7.352628
-25.0,7,7.372463
-46.0,2,7.378377
-22.0,9,7.402658
15.0,18,7.456866
-47.0,1,7.460326
-47.0,1,7.463407
-46.0,2,7.469776
-47.0,1,7.47274
-47.0,1,7.476097
88.0,60,7.646617
-12.0,8,7.665277
-47.0,1,7.667809
-42.0,3,7.675013
-45.0,3,7.682636
-44.0,4,7.69586
-6.0,10,7.726109
-47.0,1,7.733806
-4.0,14,7.771935
931.0,324,8.688861
-21.0,10,8.715161
-46.0,1,8.717787
-24.0,6,8.73421
-46.0,1,8.737054
489.0,195,9.288122
-47.0,1,9.291008
89.0,54,9.447443
226.0,107,9.723078
-39.0,5,9.735612
-47.0,1,9.738189
-45.0,2,9.743254
85.0,29,9.818974
-47.0,1,9.821741
-45.0,3,9.829202
-47.0,1,9.831983
-46.0,2,9.837035
-33.0,8,9.856961
-47.0,1,9.859965
-35.0,5,9.872915
-47.0,1,9.87573
-41.0,3,9.883399
-39.0,3,9.896437
-2.0,16,9.939492
-44.0,2,9.944788
-47.0,1,9.947488
5.0,20,10.009345
-17.0,9,10.037225
-47.0,1,10.040704
-25.0,7,10.063074
-40.0,5,10.078623
-47.0,1,10.081823
-47.0,1,10.084727
-26.0,11,10.120746
-45.0,2,10.128
-47.0,1,10.131279
-46.0,2,10.138297
-47.0,1,10.142583
-31.0,5,10.157831
-47.0,1,10.160753
-46.0,1,10.163659
-46.0,1,10.166913
-38.0,5,10.180436
-47.0,1,10.183273
-46.0,1,10.186237
-37.0,6,10.206278
-47.0,1,10.2107
-46.0,2,10.216308
631.0,231,10.877505
74.0,33,10.977869
-46.0,2,10.98333
509.0,179,11.499404
-45.0,3,11.508054
-46.0,1,11.511143
-46.0,1,11.514462
-47.0,1,11.517571
-47.0,1,11.520596
-47.0,1,11.523335
-41.0,3,11.532887
-46.0,1,11.535877
-47.0,1,11.538755
-47.0,1,11.541549
-47.0,1,11.544337
-44.0,3,11.559441
-44.0,3,11.567659
-47.0,1,11.570667
-47.0,1,11.573595
39.0,37,11.678948
-47.0,1,11.682202
-46.0,1,11.684929
80.0,61,11.853635
-39.0,7,11.883028
-46.0,1,11.885849
-46.0,2,11.891857
-24.0,6,11.907456
-11.0,9,11.931714
-44.0,3,11.940322
-47.0,1,11.943475
-47.0,1,11.9466
-47.0,1,11.949733
-43.0,2,11.955865
41.0,24,12.03236
-46.0,1,12.03507
-47.0,1,12.037821
123.0,53,12.197211
-46.0,1,12.200164
-47.0,1,12.203024
-46.0,2,12.208555
-43.0,5,12.223038
-46.0,1,12.225912
-47.0,1,12.229009
-32.0,10,12.255188
-31.0,5,12.268589
-46.0,1,12.271476
-44.0,2,12.28396
-46.0,1,12.286892
-47.0,1,12.289704
-38.0,4,12.300207
82.0,55,12.460909
140.0,90,12.717402
-46.0,1,12.720121
289.0,128,15.902502
163.0,87,16.248865
-30.0,5,16.26345
-47.0,1,16.266044
-46.0,2,16.271848
-39.0,4,16.283743
-47.0,1,16.286798
-47.0,1,16.289928
-44.0,2,16.295997
-46.0,1,16.29913
104.0,35,16.407273
-38.0,6,16.424551
-47.0,1,16.427555
-47.0,1,16.430673
3.0,14,16.475791
-47.0,1,16.47853
95.0,38,16.600507
-8.0,10,16.631286
-45.0,2,16.637646
-47.0,1,16.641449
-44.0,2,16.648848
138.0,99,16.967301
-39.0,3,16.978613
15.0,16,17.018783
-46.0,1,17.021644
279.0,92,17.275842
-43.0,2,17.283357
-38.0,4,17.294133
-47.0,1,17.296778
-47.0,1,17.299341
21.0,18,17.347129
371.0,138,17.745917
-46.0,1,17.748972
70.0,28,17.826178
5.0,17,17.872592
-47.0,1,17.875669
-43.0,5,17.898722
-43.0,2,17.905376
213.0,90,18.175268
-47.0,1,18.178058
252.0,108,18.517485
117.0,66,18.691193
-47.0,1,18.693862
525.0,241,19.390199
-46.0,2,19.395479
-47.0,1,19.399802
-44.0,3,19.408624
424.0,181,19.938942
-47.0,1,19.942146
-47.0,1,19.945046
-42.0,2,19.950804
-45.0,2,19.962334
-47.0,1,19.965302
-47.0,1,19.968132
-46.0,1,19.970974
-47.0,1,19.974355
-47.0,1,19.977417
62.0,34,20.080932
-47.0,1,20.083757
-47.0,1,20.086731
-46.0,1,20.089638
-35.0,10,20.119354
55.0,22,20.190891
-46.0,2,20.196793
26.0,17,20.249932
-47.0,1,20.253038
-46.0,1,20.256188
-47.0,1,20.259273
333.0,155,20.729806
-28.0,6,20.74573
-47.0,1,20.74876
-47.0,1,20.75245
-32.0,5,20.766201
-46.0,1,20.769092
-47.0,1,20.771934
-47.0,1,20.774882
-47.0,1,20.777772
-43.0,3,20.792696
-47.0,1,20.796013
-44.0,3,20.804106
-47.0,1,20.80681
-46.0,1,20.809553
-47.0,1,20.813318
-45.0,2,20.82233
-13.0,10,20.861235
158.0,66,21.055001
-47.0,1,21.057667
-46.0,2,21.06283
-30.0,5,21.075416
3.0,20,21.13365
-46.0,2,21.138889
254.0,109,21.427828
-47.0,1,21.43049
-38.0,3,21.438793
-46.0,1,21.441552
-47.0,1,21.444248
-45.0,2,21.449971
-47.0,1,21.453076
-47.0,1,21.45623
-35.0,8,21.4773
-46.0,1,21.480079
-45.0,3,21.488011
-47.0,1,21.490786
-47.0,1,21.493576
-23.0,9,21.523964
-47.0,1,21.527642
-47.0,1,21.531592
-47.0,1,21.534562
52.0,24,21.595818
-47.0,1,21.598513
-42.0,2,21.603481
-46.0,1,21.609241
-46.0,1,21.613998
-47.0,1,21.617529
-33.0,7,21.635709
-46.0,1,21.638268
-44.0,2,21.64326
-41.0,2,21.648243
-47.0,1,21.650945
-37.0,7,21.66803
-47.0,1,21.670705
14.0,20,21.727697
96.0,45,21.866845
-47.0,1,21.871977
160.0,69,23.553068
287.0,91,23.826064
-47.0,1,23.829067
25.0,23,23.900619
-47.0,1,23.90361
-46.0,1,23.906568
-44.0,2,23.912042
-47.0,1,23.915264
-43.0,2,23.922988
-4.0,14,23.984002
-47.0,1,23.987141
-47.0,1,23.990063
-39.0,7,24.009754
-44.0,2,24.01544
-47.0,1,24.018306
-33.0,6,24.034559
-41.0,3,24.043238
-47.0,1,24.046122
-47.0,1,24.049233
21.0,22,24.121613
-44.0,2,24.127831
-23.0,10,24.158329
271.0,100,24.45484
-27.0,5,24.468769
-47.0,1,24.471955
-18.0,13,24.514712
67.0,33,24.61441
177.0,73,24.820373
40.0,22,24.880567
-31.0,10,24.914178
-47.0,1,24.917232
-47.0,1,24.919996
3.0,18,24.973705
-29.0,10,25.015977
-46.0,1,25.018974
-47.0,1,25.021921
-47.0,1,25.024852
-46.0,1,25.027683
-42.0,3,25.036414
-47.0,1,25.039538
-46.0,1,25.042898
-45.0,2,25.048312
-47.0,1,25.051114
-43.0,2,25.056737
9.0,23,25.122479
-39.0,3,25.130036
-47.0,1,25.132715
564.0,175,25.606914
3.0,17,25.658538
551.0,215,26.433729
-47.0,1,26.438357
-46.0,2,26.446005
-30.0,8,26.486654
-47.0,1,26.490713
-44.0,2,26.499946
-47.0,1,26.505103
-42.0,2,26.513271
-47.0,1,26.517483
-47.0,1,26.522136
-47.0,1,26.52728
-46.0,2,26.538026
-47.0,1,26.542349
-40.0,3,26.554607
265.0,79,26.885319
32.0,21,26.974674
95.0,37,27.149054
-22.0,17,27.239009
88.0,38,27.402042
-30.0,7,27.438849
-46.0,1,27.443961
-47.0,1,27.448926
-47.0,1,27.453451
379.0,125,27.95877
-47.0,1,27.962961
-47.0,1,27.971423
-47.0,1,27.978725
477.0,142,28.611277
-46.0,2,28.623899
-46.0,2,28.631621
266.0,126,29.231615
-46.0,1,29.236589
-47.0,1,29.242294
-47.0,1,29.24616
-47.0,1,29.249211
155.0,79,29.471854
91.0,31,29.561281
-34.0,10,29.595987
-46.0,1,29.598827
-37.0,8,29.620209
15.0,26,29.697382
-47.0,1,29.700292
58.0,27,29.770466
-47.0,1,29.773265
-47.0,1,29.77602
-44.0,2,29.781678
-41.0,4,29.801173
-47.0,1,29.804891
67.0,27,29.880368
124.0,69,30.073654
-28.0,14,30.118475
91.0,47,30.260321
424.0,136,32.091056
-47.0,1,32.093952
-46.0,1,32.096914
63.0,29,32.180845
-46.0,1,32.183876
-46.0,2,32.190132
-47.0,1,32.193398
-44.0,2,32.198889
-46.0,1,32.201687
-46.0,1,32.204732
202.0,88,32.476705
639.0,216,33.098932
-47.0,1,33.10169
-47.0,1,33.10459
-38.0,3,33.112474
-44.0,2,33.118501
-46.0,1,33.121213
-47.0,1,33.124249
354.0,120,33.479678
333.0,94,33.752917
-47.0,1,33.755585
-46.0,2,33.760565
209.0,65,33.93892
-46.0,1,33.941644
-46.0,2,33.946782
-37.0,4,33.956841
26.0,20,34.007995
-46.0,2,34.019509
-41.0,3,34.02862
-9.0,9,34.054786
105.0,47,34.190202
-47.0,1,34.193296
-44.0,2,34.198976
41.0,25,34.27465
305.0,107,34.589785
58.0,31,34.675146
-47.0,1,34.677966
-47.0,1,34.680837
-36.0,6,34.697778
-46.0,2,34.703777
-32.0,7,34.723181
312.0,96,34.997127
255.0,102,35.289522
108.0,59,35.455745
-39.0,4,35.474073
-46.0,2,35.479103
-46.0,1,35.482319
-37.0,4,35.493261
-47.0,1,35.495856
166.0,60,35.657354
-35.0,5,35.677134
21.0,22,35.741817
213.0,90,36.014418
-47.0,1,36.017646
-47.0,1,36.02051
-34.0,4,36.031611
170.0,60,36.209825
-46.0,2,36.21503
-47.0,1,36.217703
-47.0,1,36.220371
-47.0,1,36.223047
-1.0,11,36.249854
-47.0,1,36.252701
54.0,25,36.321264
260.0,84,36.564288
-47.0,1,36.567103
-47.0,1,36.569872
-47.0,1,36.572861
-47.0,1,36.575811
-47.0,1,36.578603
-46.0,2,36.584609
-47.0,1,36.588198
-44.0,2,36.594056
-45.0,2,36.607252
-47.0,1,36.61021
38.0,26,36.67975
-46.0,1,36.682494
-46.0,2,36.687836
-4.0,11,36.723213
-47.0,1,36.726061
-46.0,2,36.731555
34.0,28,36.82094
-38.0,4,36.83477
6.0,17,36.885649
-44.0,2,36.891187
60.0,29,36.967901
-46.0,1,36.971019
-39.0,6,36.985795
224.0,65,37.164471
-47.0,1,37.167291
-42.0,5,37.180149
-46.0,1,37.182796
-43.0,3,37.190449
-46.0,2,37.195716
40.0,29,37.276851
-15.0,12,37.309911
74.0,40,37.430374
-31.0,11,37.464627
558.0,211,39.719412
-26.0,7,39.747246
-34.0,5,39.767292
-47.0,1,39.771963
-45.0,2,39.780228
136.0,52,39.998252
-11.0,11,40.04908
-47.0,1,40.053677
330.0,113,40.555045
-47.0,1,40.562708
-47.0,1,40.567778
-47.0,1,40.572217
-14.0,8,40.608578
3.0,14,40.663335
-47.0,1,40.673007
-8.0,10,40.717619
60.0,49,40.940099
-47.0,1,40.944411
402.0,143,41.512758
-47.0,1,41.516705
-40.0,8,41.56014
35.0,41,41.717591
80.0,53,41.966184
-47.0,1,41.974663
-46.0,1,41.979232
-40.0,4,41.999064
-46.0,1,42.005018
-42.0,2,42.017085
149.0,54,42.262481
-45.0,3,42.275893
-40.0,5,42.308478
-30.0,9,42.349352
-43.0,2,42.358796
-46.0,2,42.367479
-47.0,1,42.371353
-47.0,1,42.374237
-45.0,2,42.379752
-43.0,5,42.399364
-47.0,1,42.402118
-46.0,1,42.405
55.0,24,42.468009
88.0,59,42.634748
753.0,237,43.310606
-35.0,4,43.327884
-21.0,6,43.346294
354.0,133,43.709651
