#{"t_start": 1764790684.334074, "env_id": "None"}
r,l,t
-46.0,1,7.03292
-47.0,1,7.037863
-31.0,11,7.083729
-44.0,4,7.101532
312.0,134,7.539759
-35.0,4,7.550471
-46.0,2,7.555774
306.0,110,7.8664
-4.0,15,7.904478
-47.0,1,7.907109
2.0,16,7.953164
-26.0,12,7.983422
315.0,161,8.446407
-45.0,2,8.458758
-46.0,1,8.462345
-45.0,2,8.467684
-46.0,2,8.4731
100.0,52,8.614431
-47.0,1,8.617416
-36.0,6,8.631651
-46.0,2,8.636568
-47.0,1,8.639158
-46.0,2,8.64415
20.0,21,8.702103
-47.0,1,8.704844
-47.0,1,8.707694
-47.0,1,8.710506
-46.0,2,8.716174
-47.0,1,8.718908
-47.0,1,8.721728
-35.0,5,8.735539
-40.0,3,8.743254
-46.0,1,8.745855
-46.0,1,8.748641
-38.0,6,8.77235
520.0,209,9.365197
-42.0,2,9.370653
-46.0,1,9.376445
560.0,241,10.017451
-47.0,1,10.020659
-25.0,8,10.045664
-47.0,1,10.049249
-32.0,7,10.070015
-41.0,4,10.083211
149.0,60,10.264434
-46.0,1,10.267254
-43.0,5,10.280646
-33.0,6,10.310551
-47.0,1,10.315685
-47.0,1,10.320568
-47.0,1,10.325577
-44.0,2,10.335386
-47.0,1,10.338293
-44.0,2,10.343811
115.0,55,10.490677
-46.0,1,10.493608
-36.0,6,10.50867
-47.0,1,10.517236
-46.0,2,10.522549
-39.0,5,10.537455
-46.0,1,10.540215
-47.0,1,10.543165
-47.0,1,10.546103
-46.0,2,10.551406
160.0,54,10.695398
-46.0,2,10.700876
-47.0,1,10.703649
-47.0,1,10.706403
30.0,25,10.774944
-47.0,1,10.777652
-42.0,2,10.783366
-47.0,1,10.786071
-46.0,1,10.788741
-47.0,1,10.791908
-46.0,1,10.794951
766.0,238,11.488929
-46.0,1,11.491687
-47.0,1,11.49479
-47.0,1,11.497753
-45.0,2,11.503519
-46.0,2,11.509503
8.0,12,11.545543
-47.0,1,11.553363
-46.0,1,11.55795
-41.0,3,11.566128
-15.0,14,11.605258
