#{"t_start": 1764790684.3348184, "env_id": "None"}
r,l,t
-47.0,1,7.032668
22.0,17,7.110097
-28.0,9,7.14022
-47.0,1,7.143123
-46.0,1,7.146538
-47.0,1,7.14957
-20.0,9,7.184452
-47.0,1,7.188994
-46.0,2,7.199096
-40.0,3,7.216207
-43.0,2,7.223107
-47.0,1,7.226726
-42.0,4,7.239286
177.0,74,7.461168
-46.0,1,7.464365
1.0,13,7.499556
513.0,188,8.029961
-47.0,1,8.032927
-47.0,1,8.041091
41.0,34,8.135499
59.0,35,8.25131
-47.0,1,8.253886
-10.0,17,8.296422
-34.0,6,8.311284
-6.0,10,8.339036
-46.0,1,8.341736
-47.0,1,8.349303
-46.0,1,8.353757
370.0,163,8.803812
197.0,120,9.127359
22.0,32,9.213845
-47.0,1,9.216561
-21.0,6,9.231681
-47.0,1,9.234235
-47.0,1,9.236862
-46.0,1,9.239748
2.0,11,9.288846
-47.0,1,9.291916
-46.0,1,9.29545
-47.0,1,9.300669
503.0,260,9.999972
-47.0,1,10.004046
-46.0,2,10.010495
-47.0,1,10.013788
-47.0,1,10.017136
-30.0,11,10.052224
-33.0,10,10.082824
-47.0,1,10.085609
519.0,205,10.687199
-27.0,13,10.727579
-47.0,1,10.73034
-47.0,1,10.732963
71.0,38,10.839059
-46.0,2,10.844776
-47.0,1,10.84757
15.0,19,10.898055
-46.0,1,10.900815
-47.0,1,10.903609
-47.0,1,10.906303
-47.0,1,10.909086
-32.0,8,10.940218
-41.0,3,10.949973
-46.0,1,10.953345
-46.0,1,10.956176
-41.0,3,10.964561
-46.0,2,10.970158
47.0,27,11.048918
-26.0,10,11.076181
-47.0,1,11.079085
561.0,272,11.872494
39.0,19,11.923703
-47.0,1,11.926466
-47.0,1,11.929544
-47.0,1,11.932535
-46.0,1,11.93521
-29.0,6,11.95368
672.0,284,12.779695
-32.0,7,12.805927
-47.0,1,12.809401
-43.0,5,12.827908
-4.0,10,12.853552
239.0,89,15.954957
-46.0,1,15.960765
565.0,184,16.574169
-46.0,2,16.580861
-47.0,1,16.585836
-46.0,1,16.588954
-46.0,1,16.592061
-44.0,2,16.598544
-26.0,17,16.665864
-47.0,1,16.672474
-46.0,1,16.678989
-47.0,1,16.684172
-47.0,1,16.68965
439.0,180,17.210004
-46.0,1,17.212747
-42.0,4,17.222787
-44.0,2,17.227817
-44.0,2,17.232798
164.0,76,17.438626
-47.0,1,17.44124
-32.0,5,17.453638
-46.0,2,17.458818
-32.0,5,17.471267
61.0,37,17.570648
-47.0,1,17.573872
-46.0,2,17.587398
-47.0,1,17.590903
-47.0,1,17.593839
-47.0,1,17.597025
-38.0,6,17.612919
-47.0,1,17.615897
-47.0,1,17.618871
-47.0,1,17.621779
-47.0,1,17.624912
-44.0,4,17.635784
-47.0,1,17.638544
-28.0,11,17.66611
-45.0,2,17.671493
-47.0,1,17.674301
-33.0,11,17.715269
-16.0,8,17.743791
-46.0,1,17.746716
-25.0,9,17.769588
-28.0,9,17.797484
-47.0,1,17.800143
-47.0,1,17.80277
-40.0,5,17.815231
-46.0,1,17.818094
-47.0,1,17.820968
-46.0,1,17.824041
-47.0,1,17.826887
-46.0,1,17.829749
-46.0,2,17.834889
-46.0,1,17.837623
-20.0,7,17.855923
-47.0,1,17.85896
-47.0,1,17.861833
-46.0,1,17.864597
-46.0,2,17.870467
180.0,65,18.072728
-47.0,1,18.075458
-47.0,1,18.078145
269.0,138,18.50247
-47.0,1,18.511176
173.0,70,18.696508
-47.0,1,18.699329
-46.0,1,18.702093
304.0,102,19.013739
-45.0,3,19.026423
-18.0,12,19.062644
-47.0,1,19.065686
-47.0,1,19.068652
-38.0,3,19.077923
-46.0,2,19.084222
-43.0,2,19.090428
28.0,23,19.157694
-43.0,3,19.165515
374.0,162,19.6129
-47.0,1,19.615615
-47.0,1,19.618221
-47.0,1,19.62086
-8.0,12,19.655956
-46.0,1,19.658425
-47.0,1,19.661098
-47.0,1,19.663626
-47.0,1,19.666031
-46.0,1,19.66864
630.0,216,20.336949
3.0,16,20.386284
258.0,121,20.743588
-47.0,1,20.746847
-47.0,1,20.750408
