#{"t_start": 1764790684.333374, "env_id": "None"}
r,l,t
1552.0,400,25.835358
-8.0,10,25.86082
-47.0,1,25.863527
-47.0,1,25.866515
-47.0,1,25.869316
-46.0,2,25.874615
-46.0,1,25.877425
23.0,17,25.921212
82.0,45,26.095531
-46.0,1,26.100261
45.0,30,26.250314
-47.0,1,26.257162
-47.0,1,26.264609
-45.0,2,26.272453
-47.0,1,26.276402
-39.0,8,26.311966
-47.0,1,26.317928
-47.0,1,26.321661
49.0,39,26.494236
-47.0,1,26.499178
82.0,33,26.643146
-47.0,1,26.647254
-46.0,1,26.651363
-42.0,2,26.659503
12.0,13,26.720379
-46.0,1,26.72434
-31.0,7,26.750996
7.0,35,26.895278
-47.0,1,26.902193
-46.0,2,26.912747
49.0,22,26.995937
-47.0,1,27.006713
339.0,82,27.389634
-12.0,22,27.485893
-44.0,3,27.497062
-47.0,1,27.501449
-47.0,1,27.507107
271.0,114,27.977885
-1.0,13,28.02967
33.0,32,28.194326
-45.0,3,28.211864
407.0,152,28.865619
162.0,74,29.241556
211.0,80,29.467669
73.0,29,29.552271
-47.0,1,29.555015
-13.0,8,29.582371
-21.0,7,29.602839
-43.0,2,29.608147
-47.0,1,29.610986
-46.0,1,29.613679
-46.0,2,29.619163
-47.0,1,29.621848
-47.0,1,29.62473
-46.0,1,29.627438
-46.0,1,29.630279
-47.0,1,29.633186
-47.0,1,29.635955
-33.0,6,29.651556
-46.0,1,29.654305
-45.0,2,29.659692
-34.0,6,29.675118
-47.0,1,29.68173
-47.0,1,29.688064
-46.0,2,29.693403
-41.0,3,29.702114
31.0,20,29.753558
-46.0,1,29.756324
-45.0,2,29.76147
-37.0,5,29.775025
-20.0,11,29.816151
-44.0,3,29.824916
-44.0,2,29.830978
-44.0,2,29.836585
-46.0,2,29.842247
-33.0,5,29.855295
-47.0,1,29.85812
-46.0,1,29.860867
-47.0,1,29.863656
-39.0,8,29.891246
-46.0,1,29.895238
-45.0,2,29.900827
-47.0,1,29.903676
-1.0,24,29.964628
-47.0,1,29.967504
-46.0,1,29.970431
195.0,95,30.245048
-47.0,1,30.25012
-40.0,4,30.269
-47.0,1,30.274128
-46.0,2,30.282006
-47.0,1,30.285234
-45.0,2,30.29075
-44.0,3,30.303712
-37.0,10,30.331095
-19.0,10,30.358399
42.0,47,30.485401
187.0,77,32.140689
-47.0,1,32.14377
-46.0,2,32.150399
125.0,61,32.339944
-47.0,1,32.345133
-44.0,2,32.353443
51.0,23,32.418571
-43.0,5,32.43167
-7.0,14,32.478403
144.0,84,32.71346
-44.0,4,32.725025
-46.0,2,32.730731
-38.0,4,32.74193
-47.0,1,32.745116
-41.0,2,32.750755
101.0,39,32.879981
-46.0,2,32.885731
-42.0,2,32.891721
-46.0,2,32.897354
-35.0,5,32.911099
-47.0,1,32.913901
-47.0,1,32.917124
-43.0,2,32.922886
623.0,201,33.507175
-33.0,4,33.517941
8.0,16,33.561387
-46.0,2,33.566935
671.0,216,34.176592
-46.0,2,34.182587
151.0,86,34.443962
-42.0,3,34.452037
28.0,22,34.513561
97.0,52,34.659924
-45.0,2,34.665706
-45.0,2,34.671006
-28.0,6,34.687882
-47.0,1,34.690994
-46.0,1,34.693729
76.0,34,34.790184
-45.0,2,34.795541
-47.0,1,34.798151
-4.0,14,34.832441
-46.0,2,34.842969
-38.0,3,34.852646
-46.0,2,34.858142
85.0,36,34.960633
-47.0,1,34.964203
-44.0,2,34.970745
-47.0,1,34.973759
33.0,20,35.026739
-47.0,1,35.029368
-32.0,7,35.055629
-34.0,5,35.069916
-47.0,1,35.072817
17.0,15,35.111431
-8.0,12,35.141937
132.0,56,35.307175
-45.0,2,35.312902
-47.0,1,35.315635
-47.0,1,35.318385
-20.0,7,35.336515
-47.0,1,35.339313
-46.0,2,35.344492
-47.0,1,35.347175
1030.0,391,36.475397
-14.0,10,36.518199
-47.0,1,36.52101
56.0,27,36.595909
-45.0,2,36.609204
-46.0,2,36.614549
126.0,46,36.744502
-23.0,6,36.761689
-34.0,6,36.779014
-46.0,2,36.784583
-47.0,1,36.7875
-10.0,17,36.849081
-47.0,1,36.852003
-47.0,1,36.854943
