#{"t_start": 1764790684.3308485, "env_id": "None"}
r,l,t
-45.0,2,7.039679
-47.0,1,7.044743
-46.0,1,7.048142
-47.0,1,7.051481
-46.0,2,7.058108
-47.0,1,7.061301
-42.0,2,7.069064
-47.0,1,7.074132
-47.0,1,7.079624
12.0,17,7.149345
-42.0,4,7.161515
-47.0,1,7.164433
-46.0,2,7.170202
-47.0,1,7.17613
-35.0,10,7.22605
-47.0,1,7.22944
-47.0,1,7.233024
-47.0,1,7.236355
-43.0,2,7.242338
-46.0,2,7.247851
-46.0,1,7.25074
-47.0,1,7.253671
-31.0,9,7.278557
-46.0,1,7.281935
567.0,255,8.012624
-45.0,2,8.018067
471.0,159,8.483722
-46.0,2,8.488934
-47.0,1,8.491772
29.0,17,8.53582
-47.0,1,8.53855
-47.0,1,8.541327
268.0,127,8.894742
-47.0,1,8.897838
959.0,374,9.919128
-46.0,1,9.921876
-45.0,2,9.927376
-21.0,9,9.950965
-45.0,2,9.956252
102.0,56,10.135367
-46.0,1,10.138756
-46.0,1,10.142982
-22.0,8,10.167438
-47.0,1,10.170629
-47.0,1,10.173416
46.0,23,10.240471
-46.0,1,10.243359
-32.0,9,10.266833
253.0,102,10.571679
-20.0,8,10.5938
-44.0,4,10.604293
-47.0,1,10.606937
-1.0,11,10.640519
-47.0,1,10.643332
-46.0,1,10.646114
139.0,56,10.794163
-46.0,1,10.797337
-46.0,1,10.800438
-47.0,1,10.803362
-47.0,1,10.806105
-47.0,1,10.808977
230.0,123,11.16725
-1.0,10,11.192102
-47.0,1,11.194841
-47.0,1,11.197553
-45.0,2,11.202646
-46.0,2,11.207663
-7.0,23,11.271557
-36.0,4,11.281999
-47.0,1,11.284739
-30.0,5,11.297709
-46.0,1,11.300427
35.0,29,11.396728
-47.0,1,11.399325
-47.0,1,11.402172
-47.0,1,11.404896
-46.0,1,11.408513
-44.0,3,11.416515
-46.0,2,11.422265
-30.0,13,11.465198
-47.0,1,11.467958
-46.0,2,11.473193
-46.0,1,11.47593
-45.0,3,11.483615
-42.0,2,11.48867
-47.0,1,11.491357
666.0,212,12.117131
35.0,31,12.212295
-47.0,1,12.215248
-46.0,2,12.220787
-30.0,11,12.250484
-47.0,1,12.253204
