#{"t_start": 1764790684.3326151, "env_id": "None"}
r,l,t
-43.0,4,7.047036
-27.0,8,7.078929
-47.0,1,7.083776
-47.0,1,7.089361
-46.0,2,7.099157
-37.0,4,7.11978
-47.0,1,7.123244
-46.0,2,7.129157
-47.0,1,7.132343
-47.0,1,7.135899
297.0,141,7.578988
-45.0,2,7.585366
-47.0,1,7.588209
-47.0,1,7.591136
75.0,50,7.733763
-7.0,10,7.760777
-43.0,2,7.766023
-32.0,4,7.776825
-45.0,2,7.782041
-40.0,3,7.789876
-47.0,1,7.792713
-46.0,1,7.795347
-32.0,6,7.810092
-46.0,1,7.812899
-46.0,1,7.815725
-44.0,2,7.820802
-46.0,1,7.823498
-47.0,1,7.826213
-46.0,1,7.829234
-26.0,9,7.862007
21.0,29,7.941574
-46.0,1,7.944566
72.0,33,8.03144
-40.0,7,8.057668
-31.0,4,8.070219
-46.0,2,8.075857
-41.0,3,8.084111
193.0,135,8.473973
-47.0,1,8.476951
346.0,145,8.878015
-27.0,7,8.896675
120.0,64,9.063139
-46.0,2,9.07647
115.0,52,9.21283
-37.0,4,9.22326
10.0,14,9.26911
-46.0,2,9.283104
315.0,145,9.668442
-46.0,1,9.670977
-45.0,2,9.676055
-47.0,1,9.678559
424.0,162,10.151105
-47.0,1,10.154104
569.0,237,10.837514
-46.0,1,10.840554
-46.0,2,10.846223
66.0,32,10.941392
445.0,209,11.546401
-12.0,19,11.606028
-47.0,1,11.609172
-47.0,1,11.612193
-46.0,1,11.615326
-47.0,1,11.617941
-47.0,1,11.620761
-45.0,2,11.625986
-46.0,2,11.631291
-47.0,1,11.634082
-41.0,5,11.646714
-41.0,3,11.660328
80.0,33,11.743631
-46.0,2,11.748673
-44.0,2,11.7542
-46.0,1,11.761379
-47.0,1,11.765325
-33.0,5,11.778526
-46.0,1,11.78128
-46.0,2,11.786292
-47.0,1,11.789089
55.0,38,11.906934
-47.0,1,11.909613
231.0,67,12.109905
-47.0,1,12.112847
-47.0,1,12.116029
-46.0,2,12.121432
1111.0,382,16.120285
-45.0,3,16.138239
-47.0,1,16.141442
-47.0,1,16.144798
-47.0,1,16.147969
-46.0,1,16.151446
-46.0,1,16.154826
275.0,98,16.458854
-20.0,7,16.478074
-2.0,13,16.513508
-47.0,1,16.516732
223.0,81,16.800617
-47.0,1,16.803523
-37.0,4,16.814059
-47.0,1,16.816919
-32.0,5,16.829764
81.0,56,16.995691
-47.0,1,16.998426
2.0,16,17.039684
-42.0,2,17.046193
-47.0,1,17.049219
-47.0,1,17.052009
-23.0,17,17.105237
1116.0,400,18.261676
899.0,264,19.049205
-47.0,1,19.052503
-42.0,2,19.058186
-47.0,1,19.060933
-47.0,1,19.063866
585.0,219,19.67528
-47.0,1,19.677954
-47.0,1,19.680763
429.0,128,20.07166
-46.0,1,20.074631
4.0,16,20.122028
97.0,37,20.239896
-38.0,6,20.25898
-46.0,1,20.26226
-46.0,1,20.271024
-31.0,7,20.292749
-46.0,2,20.298671
-45.0,2,20.304883
-42.0,4,20.316463
-46.0,1,20.319732
340.0,134,20.721238
-46.0,1,20.723958
-40.0,3,20.731923
-46.0,1,20.734736
-44.0,3,20.742349
-46.0,2,20.748283
1096.0,344,21.727245
-47.0,1,21.730341
65.0,31,21.817862
-46.0,1,21.822233
-41.0,6,21.840118
-46.0,2,21.847435
241.0,123,23.699143
-47.0,1,23.702147
414.0,166,24.229271
-47.0,1,24.232104
88.0,38,24.338212
-47.0,1,24.340902
89.0,34,24.445034
164.0,68,24.648891
-46.0,2,24.655217
483.0,141,25.074284
-47.0,1,25.076982
117.0,69,25.262336
-44.0,4,25.273072
-47.0,1,25.275801
157.0,61,25.445426
-35.0,4,25.456125
316.0,121,25.789991
-36.0,4,25.800204
-47.0,1,25.803567
274.0,95,26.124921
609.0,188,26.958115
-41.0,3,26.969916
20.0,17,27.0448
-47.0,1,27.049099
73.0,30,27.198009
-47.0,1,27.202889
-36.0,4,27.228788
-46.0,1,27.233872
-47.0,1,27.23891
-47.0,1,27.243191
-47.0,1,27.247682
237.0,78,27.581407
43.0,29,27.696861
-47.0,1,27.70103
-47.0,1,27.706082
-44.0,3,27.719571
-47.0,1,27.72373
-45.0,3,27.735066
324.0,114,28.243706
-31.0,8,28.274271
3.0,19,28.35339
-29.0,6,28.374095
-47.0,1,28.377762
-47.0,1,28.381386
-29.0,6,28.410452
499.0,157,29.139224
539.0,212,29.797199
301.0,107,30.104152
-47.0,1,30.106944
-32.0,13,30.142658
-46.0,2,30.149387
-46.0,1,30.152855
114.0,54,30.326189
-42.0,2,30.331424
-47.0,1,30.334419
-47.0,1,30.337253
-47.0,1,30.340103
-41.0,2,30.345424
-47.0,1,30.34831
-28.0,9,30.371936
-42.0,3,30.37951
-21.0,8,30.399789
-46.0,2,30.413054
-47.0,1,30.416309
254.0,95,32.115118
-47.0,1,32.117848
135.0,46,32.250609
-46.0,2,32.261045
-47.0,1,32.266628
-44.0,2,32.272844
-43.0,2,32.278774
85.0,56,32.445686
-47.0,1,32.448481
-47.0,1,32.451227
-46.0,1,32.454247
149.0,61,32.630675
-47.0,1,32.633448
-47.0,1,32.636193
-47.0,1,32.638958
30.0,28,32.719588
536.0,185,33.253923
-46.0,2,33.259146
-46.0,1,33.262024
-47.0,1,33.264869
63.0,36,33.370599
-41.0,4,33.387677
-5.0,13,33.43537
45.0,22,33.499421
15.0,15,33.543272
313.0,109,33.851423
-46.0,1,33.854246
-47.0,1,33.857058
-33.0,5,33.869593
-47.0,1,33.872703
-44.0,3,33.880482
419.0,115,34.206878
9.0,18,34.262618
-44.0,2,34.268358
168.0,62,34.455316
-47.0,1,34.458128
-30.0,5,34.470832
-47.0,1,34.473747
-44.0,2,34.48095
-47.0,1,34.483981
-44.0,2,34.489531
-11.0,16,34.539684
-47.0,1,34.54283
670.0,209,35.127253
24.0,20,35.190737
18.0,36,35.29151
-42.0,2,35.296815
-47.0,1,35.299736
-45.0,2,35.304994
-45.0,3,35.313177
-4.0,19,35.368664
318.0,108,35.676701
765.0,225,36.333344
-47.0,1,36.33638
-41.0,5,36.349761
-47.0,1,36.352418
-47.0,1,36.355106
-10.0,9,36.37739
-45.0,2,36.38268
-47.0,1,36.38562
-47.0,1,36.392967
38.0,21,36.445504
-26.0,12,36.484812
16.0,19,36.547987
-47.0,1,36.550798
-47.0,1,36.553424
-32.0,6,36.569465
-46.0,1,36.572435
-34.0,6,36.59036
9.0,16,36.641746
-46.0,1,36.644697
-46.0,1,36.647605
116.0,57,36.820595
-47.0,1,36.824155
-38.0,4,36.837979
541.0,167,37.295412
-46.0,1,37.298298
-3.0,12,37.338479
26.0,18,37.3873
141.0,44,37.523363
-46.0,1,37.532943
15.0,15,37.578794
-47.0,1,37.581752
-28.0,5,37.595955
-47.0,1,37.599148
-47.0,1,37.601939
26.0,18,37.653164
178.0,71,37.848095
-47.0,1,37.850888
-47.0,1,37.853752
-32.0,6,37.870105
-44.0,4,39.403026
-46.0,1,39.407772
-46.0,1,39.412516
-2.0,29,39.545064
-26.0,13,39.604078
-47.0,1,39.611067
-46.0,1,39.616715
-46.0,1,39.621802
10.0,14,39.688149
189.0,64,39.963989
-47.0,1,39.96784
369.0,94,40.381285
-6.0,9,40.41722
-14.0,13,40.47873
-47.0,1,40.48384
73.0,30,40.620277
-47.0,1,40.624824
-47.0,1,40.629025
-46.0,2,40.637126
-47.0,1,40.641014
-47.0,1,40.644934
-17.0,10,40.690361
72.0,31,40.836378
-47.0,1,40.842106
77.0,37,40.998527
-1.0,25,41.104357
-44.0,4,41.124111
-46.0,1,41.12845
59.0,49,41.330185
-47.0,1,41.33402
-47.0,1,41.337924
-47.0,1,41.341703
-18.0,8,41.369047
-47.0,1,41.37276
-47.0,1,41.376223
1019.0,293,42.561103
-46.0,2,42.566344
61.0,27,42.64158
-47.0,1,42.644313
37.0,22,42.705879
-47.0,1,42.709662
-47.0,1,42.712416
-47.0,1,42.715137
35.0,27,42.781318
-43.0,2,42.786275
95.0,51,42.944316
-47.0,1,42.947017
-34.0,4,42.958079
-42.0,2,42.963875
-25.0,7,42.982895
-46.0,1,42.985656
-28.0,7,43.004767
-47.0,1,43.007869
27.0,29,43.089894
-43.0,5,43.103153
-47.0,1,43.106022
85.0,38,43.211137
-35.0,4,43.229827
-44.0,3,43.237895
-47.0,1,43.240694
-47.0,1,43.243556
80.0,60,43.414744
-47.0,1,43.417627
-41.0,3,43.430922
-47.0,1,43.43576
-46.0,1,43.439079
-39.0,3,43.446918
-46.0,2,43.452307
-46.0,1,43.45506
-47.0,1,43.457741
-27.0,6,43.472525
252.0,67,43.657353
-47.0,1,43.660175
210.0,75,43.885288
1002.0,286,44.689776
-47.0,1,44.692893
-46.0,1,44.696002
-47.0,1,44.698763
4.0,13,44.732121
-47.0,1,44.734894
-22.0,8,44.755432
-44.0,4,44.772414
40.0,25,44.841856
622.0,181,45.413646
-40.0,5,45.426297
-42.0,2,45.431574
56.0,29,45.50913
-47.0,1,45.511856
-44.0,2,45.517208
-40.0,4,45.527825
-46.0,1,45.531097
30.0,26,45.605825
-47.0,1,45.609058
-47.0,1,45.612005
-46.0,1,45.614955
229.0,62,45.788275
-47.0,1,45.791496
-47.0,1,45.794507
0.0,19,45.85383
-47.0,1,45.856602
-47.0,1,45.859254
109.0,48,46.010505
-46.0,1,46.013737
-46.0,1,46.016514
-46.0,1,46.019584
-46.0,2,46.025204
-46.0,1,46.0281
-44.0,4,46.039471
-43.0,2,46.045258
-46.0,1,46.048467
-47.0,1,46.051337
891.0,262,48.317292
-3.0,10,48.345307
-1.0,24,48.417377
17.0,21,48.48238
-13.0,10,48.508653
-26.0,8,48.531665
224.0,72,48.739462
-47.0,1,48.742289
438.0,144,49.174716
-47.0,1,49.177452
-26.0,10,49.210303
10.0,19,49.259488
128.0,57,49.414334
-46.0,1,49.41712
530.0,132,49.785926
130.0,45,49.925606
-43.0,2,49.931239
-46.0,1,49.934436
221.0,85,50.188526
-47.0,1,50.19131
-46.0,1,50.194153
-47.0,1,50.197015
-38.0,4,50.209128
-46.0,2,50.214463
87.0,35,50.311608
-47.0,1,50.314768
-47.0,1,50.317723
288.0,104,50.610475
-39.0,3,50.618375
-47.0,1,50.621051
-43.0,3,50.629452
-36.0,6,50.651464
304.0,92,50.902273
-46.0,1,50.905042
-34.0,7,50.923392
-47.0,1,50.926766
91.0,42,51.04535
706.0,231,51.727524
504.0,149,52.140081
-46.0,1,52.143081
52.0,34,52.253652
-46.0,1,52.256406
685.0,216,53.144246
-47.0,1,53.149925
670.0,195,53.971892
-41.0,4,53.991203
-46.0,1,53.996408
20.0,25,54.093027
136.0,64,54.379433
-46.0,1,54.383721
-44.0,2,54.391556
-43.0,2,54.399115
-24.0,8,54.436944
-37.0,8,56.229151
335.0,100,56.513677
-16.0,11,56.55275
-47.0,1,56.555874
51.0,39,56.673114
-47.0,1,56.67595
105.0,36,56.779232
-47.0,1,56.78249
-33.0,10,56.810078
51.0,23,56.875079
-47.0,1,56.877834
-47.0,1,56.880708
-45.0,2,56.88623
-45.0,2,56.891726
-47.0,1,56.894892
-46.0,2,56.900409
-47.0,1,56.903461
43.0,26,56.984962
99.0,46,57.113132
458.0,142,57.52103
-47.0,1,57.523809
-47.0,1,57.527012
50.0,26,57.600302
-46.0,1,57.60305
-47.0,1,57.605831
-44.0,2,57.610939
709.0,197,58.171121
19.0,20,58.232018
29.0,24,58.304653
-47.0,1,58.307805
-47.0,1,58.310767
-47.0,1,58.313577
-47.0,1,58.316436
-34.0,9,58.339474
-44.0,3,58.347392
-46.0,2,58.352951
-26.0,7,58.372357
-46.0,1,58.375329
8.0,12,58.413725
-46.0,1,58.416529
40.0,40,58.542078
-46.0,2,58.547629
-47.0,1,58.550652
0.0,14,58.588435
1.0,12,58.627918
707.0,203,59.197411
-43.0,2,59.202912
-47.0,1,59.205636
-47.0,1,59.208404
-31.0,5,59.227102
577.0,147,59.654739
58.0,28,59.725487
-43.0,2,59.731291
-32.0,10,59.769011
4.0,16,59.811435
-47.0,1,59.814235
-43.0,4,59.825434
-41.0,6,59.848031
-45.0,2,59.853654
-46.0,1,59.856447
-25.0,6,59.872883
94.0,38,59.978643
-41.0,6,59.994433
-28.0,5,60.008036
-46.0,2,60.013974
-47.0,1,60.01702
206.0,68,60.203256
-47.0,1,60.206114
8.0,15,60.24589
-47.0,1,60.249191
-35.0,5,60.269613
-46.0,1,60.272861
-28.0,9,60.297331
-28.0,5,60.310814
360.0,129,60.694527
107.0,38,60.799163
-47.0,1,60.802124
-9.0,11,60.832756
-47.0,1,60.835792
113.0,51,60.987523
-37.0,4,60.999404
151.0,49,61.13575
24.0,33,61.225685
537.0,206,61.813985
677.0,192,63.793155
-10.0,9,63.817228
372.0,119,64.15332
-46.0,1,64.156085
6.0,15,64.20277
-47.0,1,64.205959
-9.0,10,64.234511
-47.0,1,64.237782
973.0,255,65.012583
-27.0,8,65.034663
-42.0,3,65.043925
-47.0,1,65.04776
88.0,34,65.141074
-47.0,1,65.144001
-46.0,2,65.149414
-47.0,1,65.152438
109.0,55,65.316521
803.0,237,66.273508
-47.0,1,66.278121
-39.0,6,66.302695
-37.0,6,66.325641
-47.0,1,66.329785
26.0,35,66.475413
-21.0,9,66.508724
-24.0,15,66.57082
-47.0,1,66.583609
-47.0,1,66.589636
167.0,56,66.847442
-5.0,17,66.929332
-47.0,1,66.934112
83.0,43,67.112002
-46.0,1,67.120517
116.0,56,67.349123
-47.0,1,67.353203
94.0,42,67.516588
-45.0,3,67.529174
326.0,107,67.95572
